frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00225,Goblins,44.0,,,Mini P.E.K.K.A,66.0,Miner,65.0,,,,6.0,False,False,0.0,0.0
00240,Goblins,44.0,,,Mini P.E.K.K.A,66.0,Miner,65.0,,,,6.0,False,False,0.0,0.0
00255,Goblins,44.0,,,Mini P.E.K.K.A,66.0,Miner,65.0,,,2.0,6.0,False,False,0.0,0.0
00270,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,2.0,7.0,False,False,0.0,0.0
00285,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,7.0,False,False,0.0,0.0
00300,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,7.0,False,False,0.0,0.0
00315,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,7.0,False,False,0.0,0.0
00330,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,7.0,False,False,0.0,0.0
00345,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,7.0,False,False,0.0,0.0
00360,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,8.0,False,False,0.0,0.0
00375,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,8.0,False,False,0.0,0.0
00390,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,8.0,False,False,0.0,0.0
00405,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,8.0,False,False,0.0,0.0
00420,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,8.0,False,False,0.0,0.0
00435,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,9.0,False,False,0.0,0.0
00450,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,9.0,False,False,0.0,0.0
00465,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,9.0,False,False,0.0,0.0
00480,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,9.0,False,False,0.0,0.0
00495,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,9.0,False,False,0.0,0.0
00510,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,9.0,False,False,0.0,0.0
00525,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,10.0,False,False,0.0,0.0
00540,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,10.0,False,False,0.0,0.0
00555,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,10.0,False,False,0.0,0.0
00570,Goblins,44.0,Lava Hound,58.0,Mini P.E.K.K.A,66.0,Miner,65.0,,,,10.0,False,False,0.0,0.0
