frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00345,Skeletons,94.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,7,False,False,,,
00360,Skeletons,94.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00375,Skeletons,94.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00390,Skeletons,94.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00405,Skeletons,94.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00420,Archers,1.0,Knight,58.0,Ice Spirit,54.0,X,106.0,Skeletons,94.0,1.0,7,True,True,,Skeletons,1.0
00435,Archers,1.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00450,Archers,1.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00465,Archers,1.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00480,Archers,1.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00495,Archers,1.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00510,Archers,1.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00525,Archers,1.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,9,False,False,,,
00540,Archers,1.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,9,False,False,,,
00555,Archers,1.0,Knight,58.0,Ice Spirit,54.0,X,106.0,,,,9,False,False,,,
00570,Archers,1.0,Knight,58.0,Fireball,30.0,X,106.0,Ice Spirit,54.0,3.0,8,True,True,,Ice Spirit,1.0
00585,Archers,1.0,Knight,58.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00600,Archers,1.0,Knight,58.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00615,Archers,1.0,Knight,58.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00630,Archers,1.0,Knight,58.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00645,Archers,1.0,Knight,58.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00660,Archers,1.0,Knight,58.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00675,Archers,1.0,Knight,58.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00690,Archers,1.0,Knight,58.0,Fireball,30.0,X,106.0,,,,10,False,False,,,
00705,Archers,1.0,Knight,58.0,Fireball,30.0,X,106.0,,,,10,False,False,,,
00720,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,Knight,58.0,2.0,7,True,True,,Knight,3.0
00735,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00750,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
