frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00375,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,8,,,
00390,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,8,,,
00405,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,8,,,
00420,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,8,,,
00435,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,8,,,
00450,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00465,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00480,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00495,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00510,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00525,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00540,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00555,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00570,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00585,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00600,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00615,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00630,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00645,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00660,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00675,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00690,Heal Spirit,50.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00705,Goblin Drill,41.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00720,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00735,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00750,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00765,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
00780,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00795,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00810,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00825,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00840,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00855,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00870,Witch,104.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00885,Goblin Drill,41.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00900,Executioner,28.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00915,Executioner,28.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00930,Executioner,28.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,10,,,
00945,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,6,,,
00960,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,6,,,
00975,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,6,,,
00990,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,6,,,
01005,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,6,,,
01020,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,7,,,
01035,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,7,,,
01050,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,7,,,
01065,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,7,,,
01080,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,7,,,
01095,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,7,,,
01110,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,8,,,
01125,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,8,,,
01140,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,8,,,
01155,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,8,,,
01170,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,8,,,
01185,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
01200,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
01215,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
01230,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
01245,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
01260,Elixir Golem,27.0,Rage,81.0,Inferno Dragon,56.0,Arrows,2.0,,,,9,,,
01275,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,6,,,
01290,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,6,,,
01305,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,6,,,
01320,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,6,,,
01335,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,6,,,
01350,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,6,,,
01365,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,7,,,
01380,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,7,,,
01395,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,7,,,
01410,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,7,,,
01425,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,7,,,
01440,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,8,,,
01455,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,8,,,
01470,Elixir Golem,27.0,Rage,81.0,Battle Healer,10.0,Arrows,2.0,,,,8,,,
