frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,6,,,
00255,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,6,,,
00270,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,6,,,
00285,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,7,,,
00300,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,7,,,
00315,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,7,,,
00330,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,7,,,
00345,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,7,,,
00360,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8,,,
00375,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8,,,
00390,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8,,,
00405,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8,,,
00420,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8,,,
00435,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8,,,
00450,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9,,,
00465,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9,,,
00480,Ice Spirit,54.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9,,,
00495,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8,,,
00510,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,8,,,
00525,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9,,,
00540,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9,,,
00555,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9,,,
00570,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9,,,
00585,Archers,1.0,Fireball,30.0,Ice Golem,53.0,X,106.0,,,,9,,,
00600,Archers,1.0,,,Ice Golem,53.0,The Log,98.0,,,,3,,,
00615,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
00630,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
00645,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
00660,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
00675,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
00690,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,5,,,
00705,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,5,,,
00720,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,5,,,
00735,Archers,1.0,Fireball,30.0,Ice Golem,53.0,The Log,98.0,,,,5,,,
00750,,,Skeletons,94.0,,,The Log,98.0,,,,1,,,
00765,,,Skeletons,94.0,,,The Log,98.0,,,,1,,,
00780,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2,,,
00795,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2,,,
00810,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2,,,
00825,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2,,,
00840,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2,,,
00855,,,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,2,,,
00870,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,3,,,
00885,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,3,,,
00900,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,3,,,
00915,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,3,,,
00930,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,3,,,
00945,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
00960,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
00975,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
00990,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
01005,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
01020,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,4,,,
01035,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,5,,,
01050,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,5,,,
01065,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,5,,,
01080,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,5,,,
01095,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,5,,,
01110,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,5,,,
01125,Archers,1.0,Skeletons,94.0,Ice Golem,53.0,The Log,98.0,,,,6,,,
