frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,6.0,,,
00240,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,6.0,,,
00255,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,6.0,,,
00270,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,3.0,,,
00285,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00300,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00315,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00330,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00345,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00360,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00375,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00390,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00405,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00420,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00435,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00450,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
00465,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
00480,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
00495,The Log,98.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
00510,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00525,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00540,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00555,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00570,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00585,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00600,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00615,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
00630,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
00645,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
00660,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
00675,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
00690,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,10.0,,,
00705,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,10.0,,,
00720,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,10.0,,,
00735,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,10.0,,,
00750,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,10.0,,,
00765,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,10.0,,,
00780,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,10.0,,,
00795,Miner,66.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,10.0,,,
00810,Null,75.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00825,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00840,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00855,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00870,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00885,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,7.0,,,
00900,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00915,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00930,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00945,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00960,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,8.0,,,
00975,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
00990,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
01005,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
01020,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
01035,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
01050,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,9.0,,,
01065,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,0.0,,,
01080,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,0.0,,,
01095,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,0.0,,,
01110,Ice Golem,53.0,Musketeer,73.0,Giant Snowball,38.0,Bomb Tower,12.0,,,,0.0,,,
01125,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,8.0,,,
01140,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,8.0,,,
01155,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,8.0,,,
01170,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,8.0,,,
01185,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,8.0,,,
01200,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,9.0,,,
01215,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,9.0,,,
01230,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,9.0,,,
01245,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,9.0,,,
01260,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,9.0,,,
01275,Ice Golem,53.0,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,,,,9.0,,,
01290,Ice Golem,53.0,Skeletons,94.0,Balloon,4.0,Bomb Tower,12.0,,,,6.0,,,
01305,Ice Golem,53.0,Skeletons,94.0,Balloon,4.0,Bomb Tower,12.0,,,,6.0,,,
01320,Ice Golem,53.0,Skeletons,94.0,Balloon,4.0,Bomb Tower,12.0,,,,6.0,,,
01335,Ice Golem,53.0,Skeletons,94.0,Balloon,4.0,Bomb Tower,12.0,,,,6.0,,,
