frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,6,,,
00240,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,6,,,
00255,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,6,,,
00270,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,6,,,
00285,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,7,,,
00300,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,7,,,
00315,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,7,,,
00330,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,7,,,
00345,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,7,,,
00360,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,8,,,
00375,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,8,,,
00390,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,8,,,
00405,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,8,,,
00420,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,8,,,
00435,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,8,,,
00450,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,9,,,
00465,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,9,,,
00480,The Log,98.0,Skeletons,94.0,Tornado,101.0,X,106.0,,,,9,,,
00495,The Log,98.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,8,,,
00510,The Log,98.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,8,,,
00525,The Log,98.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,9,,,
00540,The Log,98.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,9,,,
00555,The Log,98.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,9,,,
00570,The Log,98.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,9,,,
00585,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,10,,,
00600,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,10,,,
00615,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,8,,,
00630,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,8,,,
00645,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,8,,,
00660,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,8,,,
00675,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,8,,,
00690,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,8,,,
00705,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,9,,,
00720,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,9,,,
00735,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,9,,,
00750,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,9,,,
00765,Tesla,97.0,Ice Wizard,55.0,Tornado,101.0,X,106.0,,,,9,,,
