frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,6,,,
00240,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,6,,,
00255,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,6,,,
00270,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,6,,,
00285,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,7,,,
00300,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,7,,,
00315,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,7,,,
00330,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,7,,,
00345,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,7,,,
00360,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,8,,,
00375,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,8,,,
00390,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,8,,,
00405,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,8,,,
00420,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,8,,,
00435,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,8,,,
00450,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,9,,,
00465,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,9,,,
00480,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,9,,,
00495,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,9,,,
00510,Valkyrie,102.0,The Log,98.0,Miner,66.0,Mortar,71.0,,,,9,,,
00525,Valkyrie,102.0,The Log,98.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00540,Valkyrie,102.0,The Log,98.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00555,Valkyrie,102.0,The Log,98.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00570,Valkyrie,102.0,The Log,98.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00585,Valkyrie,102.0,The Log,98.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00600,Valkyrie,102.0,The Log,98.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00615,Valkyrie,102.0,The Log,98.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00630,Valkyrie,102.0,The Log,98.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00645,Valkyrie,102.0,The Log,98.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00660,Valkyrie,102.0,The Log,98.0,Miner,66.0,Earthquake,20.0,,,,7,,,
