frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,6,,,
00270,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,6,,,
00285,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,6,,,
00300,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,7,,,
00315,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,7,,,
00330,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,7,,,
00345,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,7,,,
00360,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,7,,,
00375,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00390,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00405,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00420,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00435,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00450,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00465,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00480,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00495,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00510,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00525,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00540,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00555,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00570,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00585,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00600,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00615,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00630,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00645,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00660,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00675,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,,,
00690,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00705,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00720,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00735,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00750,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,,,
00765,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00780,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00795,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00810,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00825,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00840,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00855,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00870,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00885,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00900,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,,,
00915,,,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,,,
00930,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,,,
00945,Mega Minion,64.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,,,
00960,,,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,,,
00975,,,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,,,
00990,,,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,,,
01005,,,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,,,
01020,,,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,,,
01035,,,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,,,
01050,,,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,,,
01065,,,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,,,
01080,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,6,,,
01095,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,6,,,
01110,,,,,Executioner,28.0,Magic Archer,62.0,,,,2,,,
01125,,,,,,,,,,,,2,,,
01140,,,,,,,,,,,,2,,,
01155,,,,,,,Goblin Drill,41.0,,,,3,,,
01170,,,,,,,Goblin Drill,41.0,,,,3,,,
01185,,,,,,,Goblin Drill,41.0,,,,3,,,
01200,,,,,,,Goblin Drill,41.0,,,,3,,,
01215,,,,,,,Goblin Drill,41.0,,,,3,,,
01230,,,,,,,Goblin Drill,41.0,,,,3,,,
01245,,,Dark Prince,18.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,,,
01260,,,Dark Prince,18.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,,,
01275,,,,,,,,,,,,1,,,
01290,,,,,,,,,,,,1,,,
01305,,,,,,,,,,,,1,,,
01320,,,,,,,,,,,,1,,,
01335,,,,,,,,,,,,2,,,
01350,,,,,,,,,,,,2,,,
01365,,,,,,,,,,,,2,,,
01380,,,,,,,,,,,,2,,,
01395,,,,,,,,,,,,2,,,
01410,,,,,,,,,,,,3,,,
01425,,,,,,,,,,,,3,,,
01440,,,,,,,,,,,,3,,,
01455,,,,,,,,,,,,3,,,
01470,,,,,,,,,,,,3,,,
01485,,,,,,,,,,,,3,,,
01500,,,Dark Prince,18.0,Electro Wizard,24.0,,,,,,4,,,
01515,,,Dark Prince,18.0,Electro Wizard,24.0,,,,,,4,,,
01530,,,,,Null,75.0,,,,,,0,,,
01545,,,,,,,,,,,,0,,,
01560,,,,,,,,,,,,0,,,
01575,,,,,,,,,,,,1,,,
01590,,,,,,,,,,,,1,,,
01605,,,,,,,,,,,,1,,,
01620,,,,,,,,,,,,1,,,
01635,,,,,,,,,,,,1,,,
01650,,,,,,,,,,,,1,,,
01665,,,,,Zap,107.0,,,,,,2,,,
01680,,,,,Zap,107.0,,,,,,2,,,
01695,,,,,Zap,107.0,,,,,,2,,,
01710,,,,,Zap,107.0,,,,,,2,,,
01725,,,,,Zap,107.0,,,,,,2,,,
01740,,,,,Zap,107.0,,,,,,2,,,
01755,,,,,Zap,107.0,,,,,,3,,,
