frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00255,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,6,False,False,,,
00270,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,6,False,False,,,
00285,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,6,False,False,,,
00300,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,7,False,False,,,
00315,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,7,False,False,,,
00330,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,7,False,False,,,
00345,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,7,False,False,,,
00360,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,7,False,False,,,
00375,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00390,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00405,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00420,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00435,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00450,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00465,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00480,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00495,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00510,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00525,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00540,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00555,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00570,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00585,Sparky,95.0,Zap,107.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00600,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,Zap,107.0,2.0,8,True,True,,Zap,2.0
00615,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00630,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00645,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00660,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00675,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,8,False,False,,,
00690,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00705,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00720,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00735,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00750,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,9,False,False,,,
00765,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00780,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00795,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00810,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00825,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00840,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00855,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00870,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00885,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00900,Sparky,95.0,Mini P.E.K.K.A,67.0,Goblin Giant,43.0,Goblin Drill,41.0,,,,10,False,False,,,
00915,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,Goblin Giant,43.0,3.0,4,True,True,,Goblin Giant,6.0
00930,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,False,False,,,
00945,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,False,False,,,
00960,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,False,False,,,
00975,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,4,False,False,,,
00990,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,False,False,,,
01005,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,False,False,,,
01020,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,False,False,,,
01035,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,False,False,,,
01050,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,False,False,,,
01065,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,5,False,False,,,
01080,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,6,False,False,,,
01095,Sparky,95.0,Mini P.E.K.K.A,67.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,6,False,False,,,
01110,Sparky,95.0,Dark Prince,18.0,Electro Wizard,24.0,Goblin Drill,41.0,Mini P.E.K.K.A,67.0,2.0,2,True,True,,Mini P.E.K.K.A,4.0
01125,Sparky,95.0,Dark Prince,18.0,Electro Wizard,24.0,Goblin Drill,41.0,,,,2,False,False,,,
