frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,6,,,
00255,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,6,,,
00270,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,6,,,
00285,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,7,,,
00300,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,7,,,
00315,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,7,,,
00330,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,7,,,
00345,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,7,,,
00360,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,7,,,
00375,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,8,,,
00390,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,8,,,
00405,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,8,,,
00420,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,8,,,
00435,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,8,,,
00450,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,9,,,
00465,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,9,,,
00480,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,9,,,
00495,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,9,,,
00510,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,9,,,
00525,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,9,,,
00540,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00555,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00570,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00585,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00600,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00615,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00630,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00645,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00660,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00675,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00690,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00705,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00720,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00735,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00750,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00765,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00780,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00795,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00810,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00825,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00840,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00855,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00870,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00885,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00900,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00915,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00930,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00945,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00960,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00975,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
00990,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01005,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01020,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01035,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01050,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01065,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01080,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01095,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01110,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01125,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01140,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01155,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01170,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01185,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01200,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01215,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01230,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01245,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01260,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01275,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01290,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01305,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01320,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01335,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01350,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01365,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01380,Bomb Tower,12.0,Graveyard,48.0,Baby Dragon,3.0,Poison,78.0,,,,10,,,
01395,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,6,,,
01410,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,6,,,
01425,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,6,,,
01440,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,6,,,
01455,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,6,,,
01470,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,7,,,
01485,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,7,,,
01500,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,7,,,
01515,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,7,,,
01530,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,7,,,
01545,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,7,,,
01560,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,8,,,
01575,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,8,,,
01590,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,8,,,
01605,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,8,,,
01620,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,8,,,
01635,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,9,,,
01650,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,9,,,
01665,Bomb Tower,12.0,Graveyard,48.0,Barbarian Barrel,6.0,Poison,78.0,,,,9,,,
01680,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,10,,,
01695,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,10,,,
01710,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,7,,,
01725,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,8,,,
01740,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,8,,,
01755,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,8,,,
01770,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,8,,,
01785,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,8,,,
01800,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,8,,,
01815,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,9,,,
01830,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,9,,,
01845,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,9,,,
01860,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,9,,,
01875,Bomb Tower,12.0,Graveyard,48.0,Knight,58.0,Poison,78.0,,,,9,,,
01890,Bomb Tower,12.0,Graveyard,48.0,Null,75.0,Poison,78.0,,,,10,,,
01905,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,10,,,
01920,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,7,,,
01935,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,7,,,
01950,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,7,,,
01965,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,7,,,
01980,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,8,,,
01995,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,8,,,
02010,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,8,,,
02025,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,8,,,
02040,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,8,,,
02055,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,9,,,
02070,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,9,,,
02085,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,9,,,
02100,Bomb Tower,12.0,Graveyard,48.0,Tornado,101.0,Poison,78.0,,,,9,,,
02115,Bomb Tower,12.0,Graveyard,48.0,Ice Wizard,55.0,Poison,78.0,,,,6,,,
02130,Bomb Tower,12.0,Graveyard,48.0,Ice Wizard,55.0,Poison,78.0,,,,6,,,
02145,Bomb Tower,12.0,Graveyard,48.0,Ice Wizard,55.0,Poison,78.0,,,,7,,,
