frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,6,,,
00270,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,6,,,
00285,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,6,,,
00300,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,7,,,
00315,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,7,,,
00330,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,7,,,
00345,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,7,,,
00360,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,7,,,
00375,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,7,,,
00390,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,8,,,
00405,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,8,,,
00420,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,8,,,
00435,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,8,,,
00450,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,8,,,
00465,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,9,,,
00480,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,9,,,
00495,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,9,,,
00510,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,9,,,
00525,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,9,,,
00540,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,9,,,
00555,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,10,,,
00570,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,10,,,
00585,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,10,,,
00600,Knight,58.0,Princess,80.0,The Log,98.0,Ice Spirit,54.0,,,,10,,,
00615,Knight,58.0,Princess,80.0,The Log,98.0,Rocket,84.0,,,,9,,,
00630,Knight,58.0,Princess,80.0,The Log,98.0,Rocket,84.0,,,,9,,,
00645,Knight,58.0,Princess,80.0,The Log,98.0,Rocket,84.0,,,,9,,,
00660,Knight,58.0,Princess,80.0,The Log,98.0,Rocket,84.0,,,,9,,,
00675,Knight,58.0,Princess,80.0,The Log,98.0,Rocket,84.0,,,,9,,,
00690,Knight,58.0,Princess,80.0,The Log,98.0,Rocket,84.0,,,,10,,,
00705,Knight,58.0,Princess,80.0,The Log,98.0,Rocket,84.0,,,,10,,,
00720,Knight,58.0,Princess,80.0,The Log,98.0,Rocket,84.0,,,,10,,,
00735,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
00750,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
00765,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
00780,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
00795,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
00810,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
00825,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
00840,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
00855,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
00870,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
00885,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
00900,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
00915,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
00930,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
00945,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
00960,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
00975,Knight,58.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
00990,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
01005,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
01020,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
01035,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
01050,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,7,,,
01065,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
01080,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
01095,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
01110,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
01125,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
01140,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,8,,,
01155,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
01170,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
01185,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
01200,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
01215,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Rocket,84.0,,,,9,,,
01230,Goblin Gang,42.0,Ice Wizard,55.0,The Log,98.0,Goblin Barrel,39.0,,,,3,,,
01245,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,4,,,
01260,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,4,,,
01275,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,4,,,
01290,Goblin Gang,42.0,,,The Log,98.0,Goblin Barrel,39.0,,,,4,,,
01305,Goblin Gang,42.0,,,The Log,98.0,Goblin Barrel,39.0,,,,4,,,
01320,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,5,,,
01335,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,5,,,
01350,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,5,,,
01365,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,5,,,
01380,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,5,,,
01395,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,5,,,
01410,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,6,,,
01425,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,6,,,
01440,Goblin Gang,42.0,Inferno Tower,57.0,The Log,98.0,Goblin Barrel,39.0,,,,6,,,
