frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00270,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,6,,,
00285,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,6,,,
00300,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,6,,,
00315,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,7,,,
00330,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,7,,,
00345,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,7,,,
00360,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,7,,,
00375,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,7,,,
00390,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
00405,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
00420,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
00435,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
00450,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
00465,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
00480,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,9,,,
00495,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,9,,,
00510,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,9,,,
00525,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,9,,,
00540,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,9,,,
00555,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,10,,,
00570,Musketeer,73.0,Skeletons,94.0,Ice Spirit,54.0,Valkyrie,102.0,,,,10,,,
00585,Musketeer,73.0,Skeletons,94.0,Hog Rider,51.0,Valkyrie,102.0,,,,9,,,
00600,Musketeer,73.0,Skeletons,94.0,The Log,98.0,Valkyrie,102.0,,,,9,,,
00615,Musketeer,73.0,Skeletons,94.0,The Log,98.0,Valkyrie,102.0,,,,9,,,
00630,Musketeer,73.0,Skeletons,94.0,The Log,98.0,Valkyrie,102.0,,,,9,,,
00645,Musketeer,73.0,Skeletons,94.0,The Log,98.0,Valkyrie,102.0,,,,9,,,
00660,Musketeer,73.0,Skeletons,94.0,The Log,98.0,Valkyrie,102.0,,,,9,,,
00675,Musketeer,73.0,X,106.0,The Log,98.0,Valkyrie,102.0,,,,9,,,
00690,Musketeer,73.0,X,106.0,The Log,98.0,Valkyrie,102.0,,,,9,,,
00705,Musketeer,73.0,X,106.0,The Log,98.0,Valkyrie,102.0,,,,9,,,
00720,Musketeer,73.0,X,106.0,The Log,98.0,Valkyrie,102.0,,,,9,,,
00735,Musketeer,73.0,X,106.0,The Log,98.0,Valkyrie,102.0,,,,9,,,
