frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,6.0,,,
00255,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,6.0,,,
00270,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,6.0,,,
00285,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00300,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00315,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00330,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00345,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00360,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00375,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,8.0,,,
00390,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,8.0,,,
00405,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,8.0,,,
00420,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,8.0,,,
00435,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,8.0,,,
00450,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,9.0,,,
00465,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,9.0,,,
00480,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,9.0,,,
00495,Firecracker,31.0,Heal Spirit,50.0,Skeletons,94.0,The Log,98.0,,,,9.0,,,
00510,Firecracker,31.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,8.0,,,
00525,Firecracker,31.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,8.0,,,
00540,Firecracker,31.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,9.0,,,
00555,Firecracker,31.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,9.0,,,
00570,Firecracker,31.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,9.0,,,
00585,Firecracker,31.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,9.0,,,
00600,Firecracker,31.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,9.0,,,
00615,Furnace,35.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,10.0,,,
00630,Furnace,35.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,10.0,,,
00645,Furnace,35.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,10.0,,,
00660,Furnace,35.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,10.0,,,
00675,Firecracker,31.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,10.0,,,
00690,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00705,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00720,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00735,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00750,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,Earthquake,20.0,,,,5.0,,,
00765,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
00780,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
00795,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
00810,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
00825,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
00840,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
00855,Barbarians,8.0,Royal Hogs,88.0,Skeletons,94.0,Earthquake,20.0,,,,7.0,,,
00870,,,,,Skeletons,94.0,,,,,,2.0,,,
00885,,,,,Skeletons,94.0,,,,,,2.0,,,
00900,,,,,Skeletons,94.0,,,,,,2.0,,,
00915,,,,,Skeletons,94.0,,,,,,2.0,,,
00930,,,,,Skeletons,94.0,Earthquake,20.0,,,,3.0,,,
00945,,,,,Skeletons,94.0,Earthquake,20.0,,,,3.0,,,
00960,,,,,Skeletons,94.0,Earthquake,20.0,,,,3.0,,,
00975,,,,,Skeletons,94.0,Earthquake,20.0,,,,3.0,,,
00990,,,,,Skeletons,94.0,Earthquake,20.0,,,,3.0,,,
01005,,,,,Skeletons,94.0,Earthquake,20.0,,,,3.0,,,
01020,,,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,4.0,,,
01035,,,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,4.0,,,
01050,,,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,4.0,,,
01065,,,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,4.0,,,
01080,,,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,4.0,,,
01095,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,5.0,,,
01110,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,5.0,,,
01125,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,5.0,,,
01140,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,5.0,,,
01155,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,5.0,,,
01170,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,5.0,,,
01185,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
01200,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
01215,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
01230,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
01245,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
01260,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,6.0,,,
01275,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,3.0,,,
01290,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,7.0,,,
01305,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,7.0,,,
01320,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,7.0,,,
01335,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,7.0,,,
01350,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,8.0,,,
01365,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,8.0,,,
01380,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,8.0,,,
01395,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,8.0,,,
01410,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,8.0,,,
01425,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,8.0,,,
01440,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,9.0,,,
01455,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,9.0,,,
01470,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,9.0,,,
01485,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,9.0,,,
01500,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,9.0,,,
01515,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,10.0,,,
01530,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,10.0,,,
01545,Barbarians,8.0,Hunter,52.0,Skeletons,94.0,Earthquake,20.0,,,,10.0,,,
01560,Barbarians,8.0,Hunter,52.0,Heal Spirit,50.0,Earthquake,20.0,,,,9.0,,,
01575,Barbarians,8.0,Hunter,52.0,Heal Spirit,50.0,Earthquake,20.0,,,,9.0,,,
