frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,6.0,,,
00240,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,6.0,,,
00255,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,6.0,,,
00270,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,6.0,,,
00285,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,7.0,,,
00300,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,7.0,,,
00315,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,7.0,,,
00330,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,7.0,,,
00345,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,7.0,,,
00360,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,8.0,,,
00375,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,8.0,,,
00390,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,8.0,,,
00405,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,8.0,,,
00420,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,8.0,,,
00435,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,8.0,,,
00450,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,9.0,,,
00465,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,9.0,,,
00480,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,9.0,,,
00495,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,9.0,,,
00510,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,9.0,,,
00525,Prince,79.0,Minion Horde,68.0,Rage,81.0,Wizard,105.0,,,,10.0,,,
00540,Prince,79.0,Minion Horde,68.0,Rage,81.0,Null,75.0,,,,5.0,,,
00555,Prince,79.0,Minion Horde,68.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
00570,Prince,79.0,Minion Horde,68.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
00585,Prince,79.0,Minion Horde,68.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
00600,Prince,79.0,Minion Horde,68.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
00615,Prince,79.0,Minion Horde,68.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
00630,Prince,79.0,Minion Horde,68.0,Rage,81.0,Arrows,2.0,,,,6.0,,,
00645,Prince,79.0,Minion Horde,68.0,Rage,81.0,Arrows,2.0,,,,6.0,,,
00660,Prince,79.0,Minion Horde,68.0,Rage,81.0,Arrows,2.0,,,,6.0,,,
00675,Prince,79.0,Minion Horde,68.0,Rage,81.0,Arrows,2.0,,,,6.0,,,
00690,,,,,,,,,,,,1.0,,,
00705,,,,,Rage,81.0,,,,,,2.0,,,
00720,,,,,Rage,81.0,,,,,,2.0,,,
00735,,,,,Rage,81.0,,,,,,2.0,,,
00750,,,,,Rage,81.0,,,,,,2.0,,,
00765,,,,,Rage,81.0,,,,,,2.0,,,
00780,,,,,Rage,81.0,,,,,,2.0,,,
00795,,,Skeleton Army,90.0,Rage,81.0,Arrows,2.0,,,,3.0,,,
00810,,,Skeleton Army,90.0,Rage,81.0,Arrows,2.0,,,,3.0,,,
00825,,,Skeleton Army,90.0,Rage,81.0,Arrows,2.0,,,,3.0,,,
00840,,,Skeleton Army,90.0,Rage,81.0,Arrows,2.0,,,,3.0,,,
00855,,,Skeleton Army,90.0,Rage,81.0,Arrows,2.0,,,,3.0,,,
00870,,,Skeleton Army,90.0,Rage,81.0,Arrows,2.0,,,,3.0,,,
00885,,,,,,,,,,,,1.0,,,
00900,,,,,,,,,,,,1.0,,,
00915,,,,,,,,,,,,1.0,,,
00930,,,,,,,,,,,,1.0,,,
00945,,,,,,,,,,,,1.0,,,
00960,,,,,Rage,81.0,,,,,,2.0,,,
00975,,,,,Rage,81.0,,,,,,2.0,,,
00990,,,,,Rage,81.0,,,,,,2.0,,,
01005,,,,,Rage,81.0,,,,,,2.0,,,
01020,,,,,Rage,81.0,,,,,,2.0,,,
01035,,,,,Rage,81.0,,,,,,2.0,,,
01050,,,,,Rage,81.0,Arrows,2.0,,,,3.0,,,
01065,,,,,Rage,81.0,Arrows,2.0,,,,3.0,,,
01080,,,,,Rage,81.0,Arrows,2.0,,,,3.0,,,
01095,,,,,Rage,81.0,Arrows,2.0,,,,3.0,,,
01110,,,,,Rage,81.0,Arrows,2.0,,,,3.0,,,
01125,,,,,Rage,81.0,Arrows,2.0,,,,4.0,,,
01140,,,,,Rage,81.0,Arrows,2.0,,,,4.0,,,
01155,,,,,Rage,81.0,Arrows,2.0,,,,4.0,,,
01170,,,,,Rage,81.0,Arrows,2.0,,,,4.0,,,
01185,,,,,Rage,81.0,Arrows,2.0,,,,4.0,,,
01200,,,,,Rage,81.0,Arrows,2.0,,,,4.0,,,
01215,Prince,79.0,Balloon,4.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
01230,Prince,79.0,Balloon,4.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
01245,Prince,79.0,Balloon,4.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
01260,Prince,79.0,Balloon,4.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
01275,Prince,79.0,Balloon,4.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
01290,Prince,79.0,Balloon,4.0,Rage,81.0,Arrows,2.0,,,,5.0,,,
01305,Prince,79.0,Balloon,4.0,Rage,81.0,Arrows,2.0,,,,6.0,,,
