frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,6,,,
00255,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,6,,,
00270,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,6,,,
00285,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,7,,,
00300,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,7,,,
00315,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,7,,,
00330,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,7,,,
00345,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,7,,,
00360,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,8,,,
00375,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,8,,,
00390,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,8,,,
00405,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,8,,,
00420,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,8,,,
00435,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,8,,,
00450,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,9,,,
00465,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,9,,,
00480,Witch,104.0,Bats,9.0,Goblin Gang,42.0,Clone,17.0,,,,9,,,
00495,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,6,,,
00510,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,6,,,
00525,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,6,,,
00540,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,7,,,
00555,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,7,,,
00570,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,7,,,
00585,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,7,,,
00600,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,7,,,
00615,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,8,,,
00630,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,8,,,
00645,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,8,,,
00660,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,8,,,
00675,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,8,,,
00690,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,8,,,
00705,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,9,,,
00720,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,9,,,
00735,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,9,,,
00750,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,9,,,
00765,Hog Rider,51.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,9,,,
00780,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,10,,,
00795,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,10,,,
00810,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,10,,,
00825,Witch,104.0,Bats,9.0,Skeleton Dragons,92.0,Clone,17.0,,,,10,,,
00840,Witch,104.0,Bats,9.0,Arrows,2.0,Clone,17.0,,,,6,,,
00855,Witch,104.0,Bats,9.0,Arrows,2.0,Clone,17.0,,,,6,,,
00870,Witch,104.0,Bats,9.0,Arrows,2.0,Clone,17.0,,,,6,,,
00885,Witch,104.0,Bats,9.0,Arrows,2.0,Clone,17.0,,,,6,,,
