frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,,,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,6,,,
00240,,,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,6,,,
00255,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,6,,,
00270,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,6,,,
00285,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,7,,,
00300,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,7,,,
00315,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,7,,,
00330,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,7,,,
00345,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,7,,,
00360,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,8,,,
00375,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,8,,,
00390,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,8,,,
00405,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,8,,,
00420,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,8,,,
00435,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,8,,,
00450,Lava Hound,59.0,Bats,9.0,Zap,107.0,Balloon,4.0,,,,9,,,
00465,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,9,,,
00480,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,9,,,
00495,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,9,,,
00510,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,9,,,
00525,Lava Hound,59.0,Bats,9.0,Zap,107.0,Balloon,4.0,,,,10,,,
00540,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,10,,,
00555,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,10,,,
00570,Lava Hound,59.0,Goblin Drill,41.0,Zap,107.0,Balloon,4.0,,,,10,,,
00585,Lava Hound,59.0,Bats,9.0,Zap,107.0,Balloon,4.0,,,,10,,,
00600,Lava Hound,59.0,Bats,9.0,Minion Horde,68.0,Balloon,4.0,,,,8,,,
00615,Lava Hound,59.0,Minion Horde,68.0,Minion Horde,68.0,Balloon,4.0,,,,8,,,
00630,Lava Hound,59.0,Goblin Drill,41.0,Minion Horde,68.0,Balloon,4.0,,,,8,,,
00645,Lava Hound,59.0,Goblin Drill,41.0,Minion Horde,68.0,Balloon,4.0,,,,8,,,
00660,Lava Hound,59.0,Goblin Drill,41.0,Minion Horde,68.0,Balloon,4.0,,,,8,,,
00675,Lava Hound,59.0,Goblin Drill,41.0,Minion Horde,68.0,Balloon,4.0,,,,9,,,
00690,Lava Hound,59.0,Goblin Drill,41.0,Minion Horde,68.0,Balloon,4.0,,,,9,,,
00705,Lava Hound,59.0,Goblin Drill,41.0,Minion Horde,68.0,Balloon,4.0,,,,9,,,
00720,Lava Hound,59.0,Goblin Drill,41.0,Minion Horde,68.0,Balloon,4.0,,,,9,,,
00735,Arrows,2.0,Hog Rider,51.0,Minion Horde,68.0,Balloon,4.0,,,,2,,,
00750,Arrows,2.0,Lava Hound,59.0,Minion Horde,68.0,Balloon,4.0,,,,2,,,
00765,Arrows,2.0,Goblin Drill,41.0,Minion Horde,68.0,Balloon,4.0,,,,3,,,
00780,Arrows,2.0,Goblin Drill,41.0,Minion Horde,68.0,Balloon,4.0,,,,3,,,
