frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00225,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,6,False,False,0.0,0.0
00240,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,6,False,False,0.0,0.0
00255,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,6,False,False,0.0,0.0
00270,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00285,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00300,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00315,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00330,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00345,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00360,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00375,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00390,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00405,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00420,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00435,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00450,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00465,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00480,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00495,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00510,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00525,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,10,False,False,0.0,0.0
00540,Fisherman,32.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,10,False,False,0.0,0.0
00555,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,Fisherman,32.0,1.0,7,True,True,3.0,3.0
00570,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00585,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00600,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00615,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00630,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00645,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00660,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00675,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00690,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00705,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,8,False,False,0.0,0.0
00720,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00735,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00750,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00765,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00780,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00795,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,9,False,False,0.0,0.0
00810,Graveyard,48.0,Giant Skeleton,37.0,Electro Wizard,24.0,Freeze,34.0,,,,10,False,False,0.0,0.0
00825,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,Electro Wizard,24.0,3.0,6,True,True,4.0,4.0
00840,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,6,False,False,0.0,0.0
00855,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,6,False,False,0.0,0.0
00870,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,6,False,False,0.0,0.0
00885,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,6,False,False,0.0,0.0
00900,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,6,False,False,0.0,0.0
00915,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00930,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00945,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00960,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00975,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,7,False,False,0.0,0.0
00990,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01005,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01020,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01035,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01050,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01065,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01080,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01095,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01110,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01125,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01140,Graveyard,48.0,Giant Skeleton,37.0,Barbarian Barrel,6.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01155,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,Barbarian Barrel,6.0,3.0,7,True,True,2.0,2.0
01170,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01185,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01200,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01215,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01230,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,8,False,False,0.0,0.0
01245,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01260,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01275,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01290,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01305,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01320,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,9,False,False,0.0,0.0
01335,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01350,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01365,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01380,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01395,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01410,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01425,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01440,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01455,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01470,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01485,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01500,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01515,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01530,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01545,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01560,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01575,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01590,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01605,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01620,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01635,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01650,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01665,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01680,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01695,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01710,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01725,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
01740,Graveyard,48.0,Giant Skeleton,37.0,Hunter,52.0,Freeze,34.0,,,,10,False,False,0.0,0.0
