frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,6,,,
00255,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,6,,,
00270,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,6,,,
00285,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,7,,,
00300,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,7,,,
00315,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,7,,,
00330,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,7,,,
00345,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,7,,,
00360,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,7,,,
00375,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,8,,,
00390,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,8,,,
00405,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,8,,,
00420,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,8,,,
00435,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,8,,,
00450,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,9,,,
00465,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,9,,,
00480,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,9,,,
00495,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,9,,,
00510,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,9,,,
00525,Hunter,52.0,Fireball,30.0,Electro Wizard,24.0,Arrows,2.0,,,,9,,,
