frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00240,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00255,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00270,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00285,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00300,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00315,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00330,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00345,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00360,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00375,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00390,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00405,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00420,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00435,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00450,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00465,Ice Golem,53.0,Archers,1.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00480,Ice Golem,53.0,The Log,98.0,Fireball,30.0,X,106.0,Archers,1.0,2.0,6,True,True,,Archers,3.0
00495,Ice Golem,53.0,The Log,98.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00510,Ice Golem,53.0,The Log,98.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00525,Ice Golem,53.0,The Log,98.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00540,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,The Log,98.0,2.0,5,True,True,,The Log,2.0
00555,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,5,False,False,,,
00570,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,5,False,False,,,
00585,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,5,False,False,,,
00600,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,5,False,False,,,
00615,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00630,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00645,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00660,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00675,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00690,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00705,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00720,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00735,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00750,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00765,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00780,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00795,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00810,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00825,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00840,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00855,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00870,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00885,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00900,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00915,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,Skeletons,94.0,2.0,8,True,True,,Skeletons,1.0
00930,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00945,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00960,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00975,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00990,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01005,Ice Golem,53.0,Tesla,97.0,Fireball,30.0,X,106.0,Ice Spirit,54.0,2.0,8,True,True,,Ice Spirit,1.0
01020,Ice Golem,53.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01035,Ice Golem,53.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01050,Ice Golem,53.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01065,Ice Golem,53.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01080,Ice Golem,53.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01095,Ice Golem,53.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01110,Ice Golem,53.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,10,False,False,,,
01125,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,Ice Golem,53.0,1.0,10,True,False,,Ice Golem,2.0
01140,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,8,False,True,,,
01155,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01170,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01185,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01200,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01215,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01230,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01245,Archers,1.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01260,The Log,98.0,Tesla,97.0,Fireball,30.0,X,106.0,Archers,1.0,1.0,6,True,True,,Archers,3.0
01275,The Log,98.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
01290,The Log,98.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01305,The Log,98.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01320,The Log,98.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01335,The Log,98.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01350,The Log,98.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01365,The Log,98.0,Tesla,97.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
