frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,6.0,,,
00240,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,6.0,,,
00255,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,6.0,,,
00270,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,6.0,,,
00285,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7.0,,,
00300,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7.0,,,
00315,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7.0,,,
00330,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7.0,,,
00345,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7.0,,,
00360,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7.0,,,
00375,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,8.0,,,
00390,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,8.0,,,
00405,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,8.0,,,
00420,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,8.0,,,
00435,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,8.0,,,
00450,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9.0,,,
00465,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9.0,,,
00480,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9.0,,,
00495,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9.0,,,
00510,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9.0,,,
00525,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9.0,,,
00540,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,10.0,,,
00555,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,10.0,,,
00570,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Null,75.0,,,,8.0,,,
00585,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,8.0,,,
00600,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,8.0,,,
00615,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,8.0,,,
00630,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,8.0,,,
00645,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,8.0,,,
00660,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,9.0,,,
00675,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,9.0,,,
00690,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,9.0,,,
00705,Goblin Drill,41.0,Bandit,5.0,,,,,,,,3.0,,,
00720,Goblin Drill,41.0,Bandit,5.0,,,,,,,,3.0,,,
00735,Battle Ram,11.0,Bandit,5.0,,,,,,,,4.0,,,
00750,Battle Ram,11.0,Bandit,5.0,,,,,,,,4.0,,,
00765,Battle Ram,11.0,Bandit,5.0,,,,,,,,4.0,,,
00780,Battle Ram,11.0,Bandit,5.0,,,,,,,,4.0,,,
00795,Battle Ram,11.0,Bandit,5.0,,,,,,,,4.0,,,
00810,Battle Ram,11.0,Bandit,5.0,,,,,,,,4.0,,,
00825,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,5.0,,,
00840,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,5.0,,,
00855,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,5.0,,,
00870,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,5.0,,,
00885,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,5.0,,,
00900,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,5.0,,,
00915,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,6.0,,,
00930,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,6.0,,,
00945,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,6.0,,,
00960,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,6.0,,,
00975,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,,,,,,6.0,,,
