frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00225,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00240,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00255,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00270,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00285,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7,False,False,0.0,0.0
00300,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7,False,False,0.0,0.0
00315,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7,False,False,0.0,0.0
00330,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7,False,False,0.0,0.0
00345,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7,False,False,0.0,0.0
00360,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,7,False,False,0.0,0.0
00375,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00390,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00405,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00420,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00435,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00450,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9,False,False,0.0,0.0
00465,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9,False,False,0.0,0.0
00480,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9,False,False,0.0,0.0
00495,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9,False,False,0.0,0.0
00510,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9,False,False,0.0,0.0
00525,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,9,False,False,0.0,0.0
00540,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,10,False,False,0.0,0.0
00555,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Barbarian Barrel,6.0,,,,10,False,False,0.0,0.0
00570,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,Barbarian Barrel,6.0,4.0,8,True,True,2.0,2.0
00585,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,8,False,False,0.0,0.0
00600,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,8,False,False,0.0,0.0
00615,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,8,False,False,0.0,0.0
00630,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,8,False,False,0.0,0.0
00645,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,8,False,False,0.0,0.0
00660,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,9,False,False,0.0,0.0
00675,Battle Ram,11.0,Bandit,5.0,Minion Horde,68.0,Elixir Collector,26.0,,,,9,False,False,0.0,0.0
