frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,6,,,
00255,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,6,,,
00270,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,7,,,
00285,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,7,,,
00300,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,7,,,
00315,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,7,,,
00330,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,7,,,
00345,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,7,,,
00360,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,8,,,
00375,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,8,,,
00390,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,8,,,
00405,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,8,,,
00420,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,8,,,
00435,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,8,,,
00450,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,9,,,
00465,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,9,,,
00480,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,9,,,
00495,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,9,,,
00510,Arrows,2.0,Giant,36.0,Tombstone,100.0,Poison,78.0,,,,9,,,
00525,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,7,,,
00540,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,7,,,
00555,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,7,,,
00570,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,7,,,
00585,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,7,,,
00600,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,7,,,
00615,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,8,,,
00630,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,8,,,
00645,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,8,,,
00660,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,8,,,
00675,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,8,,,
00690,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,9,,,
00705,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,9,,,
00720,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,9,,,
00735,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,9,,,
00750,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,9,,,
00765,Arrows,2.0,Giant,36.0,Goblin Gang,42.0,Poison,78.0,,,,9,,,
00780,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,7,,,
00795,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,7,,,
00810,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,7,,,
00825,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,7,,,
00840,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,7,,,
00855,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,7,,,
00870,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,8,,,
00885,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,8,,,
00900,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,8,,,
00915,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,8,,,
00930,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,8,,,
00945,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,9,,,
00960,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,9,,,
00975,Arrows,2.0,Giant,36.0,Mega Minion,64.0,Poison,78.0,,,,9,,,
00990,Arrows,2.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,6,,,
01005,Arrows,2.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,6,,,
01020,Bats,9.0,Giant,36.0,Graveyard,48.0,Tornado,101.0,,,,3,,,
01035,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01050,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01065,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01080,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01095,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01110,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01125,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01140,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01155,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01170,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01185,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01200,Bats,9.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,6,,,
01215,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01230,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01245,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01260,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01275,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01290,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01305,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01320,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01335,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01350,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01365,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,6,,,
01380,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,6,,,
01395,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,6,,,
01410,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,6,,,
01425,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,6,,,
01440,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,6,,,
01455,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,7,,,
01470,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,7,,,
01485,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,7,,,
01500,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,7,,,
01515,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,7,,,
01530,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,8,,,
01545,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,8,,,
01560,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,8,,,
01575,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,8,,,
01590,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,8,,,
01605,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,8,,,
01620,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,9,,,
01635,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,9,,,
01650,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,9,,,
01665,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,9,,,
01680,Tombstone,100.0,Giant,36.0,Graveyard,48.0,Poison,78.0,,,,9,,,
01695,Tombstone,100.0,Goblin Gang,42.0,Graveyard,48.0,Poison,78.0,,,,4,,,
01710,Tombstone,100.0,Goblin Gang,42.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01725,Tombstone,100.0,Goblin Gang,42.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01740,Tombstone,100.0,Goblin Gang,42.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01755,Tombstone,100.0,Goblin Gang,42.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01770,Tombstone,100.0,Goblin Gang,42.0,Graveyard,48.0,Poison,78.0,,,,5,,,
01785,Tombstone,100.0,Goblin Gang,42.0,Graveyard,48.0,Poison,78.0,,,,6,,,
01800,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,1,,,
01815,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,1,,,
01830,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,1,,,
01845,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,1,,,
01860,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,1,,,
01875,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,2,,,
01890,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,2,,,
01905,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,2,,,
01920,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,2,,,
01935,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,2,,,
01950,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,2,,,
01965,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,3,,,
01980,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,3,,,
01995,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,3,,,
02010,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,3,,,
02025,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,3,,,
02040,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,4,,,
02055,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,4,,,
02070,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,4,,,
02085,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,4,,,
02100,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,4,,,
02115,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,4,,,
02130,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,5,,,
02145,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,5,,,
02160,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,5,,,
02175,Tombstone,100.0,Goblin Gang,42.0,Mega Minion,64.0,Poison,78.0,,,,5,,,
