frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,,,,,,6,,,
00255,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,,,,,,6,,,
00270,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,7,,,
00285,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,7,,,
00300,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,7,,,
00315,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,7,,,
00330,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,7,,,
00345,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,7,,,
00360,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,8,,,
00375,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,8,,,
00390,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,8,,,
00405,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,8,,,
00420,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,8,,,
00435,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,8,,,
00450,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,9,,,
00465,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,9,,,
00480,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,9,,,
00495,Mega Minion,64.0,Fireball,30.0,Goblin Drill,41.0,Lava Hound,59.0,,,,9,,,
00510,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,6,,,
00525,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,7,,,
00540,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,7,,,
00555,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,7,,,
00570,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,7,,,
00585,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,7,,,
00600,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,7,,,
00615,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,8,,,
00630,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,8,,,
00645,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,8,,,
00660,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,8,,,
00675,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,8,,,
00690,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,9,,,
00705,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,9,,,
00720,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,9,,,
00735,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Lava Hound,59.0,,,,9,,,
00750,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,2,,,
00765,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,2,,,
00780,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,3,,,
00795,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,3,,,
00810,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,3,,,
00825,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,3,,,
00840,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,3,,,
00855,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,3,,,
00870,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,4,,,
00885,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,4,,,
00900,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,4,,,
00915,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,4,,,
00930,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,4,,,
00945,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,5,,,
00960,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,5,,,
00975,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,5,,,
00990,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,5,,,
01005,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,5,,,
01020,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,5,,,
01035,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,6,,,
01050,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,6,,,
01065,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,6,,,
01080,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,6,,,
01095,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,6,,,
01110,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,7,,,
01125,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,7,,,
01140,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,7,,,
01155,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,7,,,
01170,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,7,,,
01185,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,7,,,
01200,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,8,,,
01215,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,8,,,
01230,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,8,,,
01245,Mega Minion,64.0,Fireball,30.0,Zap,107.0,Balloon,4.0,,,,8,,,
01260,Mega Minion,64.0,Fireball,30.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
