frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,6.0,,,
00240,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,6.0,,,
00255,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,6.0,,,
00270,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,6.0,,,
00285,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,7.0,,,
00300,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,7.0,,,
00315,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,7.0,,,
00330,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,7.0,,,
00345,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,7.0,,,
00360,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,8.0,,,
00375,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,8.0,,,
00390,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,8.0,,,
00405,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,8.0,,,
00420,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,8.0,,,
00435,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,8.0,,,
00450,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,9.0,,,
00465,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,9.0,,,
00480,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,9.0,,,
00495,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,9.0,,,
00510,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,9.0,,,
00525,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,10.0,,,
00540,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,10.0,,,
00555,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,10.0,,,
00570,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,10.0,,,
00585,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,10.0,,,
00600,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,10.0,,,
00615,Sparky,95.0,Dark Prince,18.0,Giant,36.0,Minion Horde,68.0,,,,10.0,,,
