frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00240,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00255,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00270,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,7,False,False,0.0,0.0
00285,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00300,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00315,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00330,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,7,False,True,1.0,0.0
00345,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,7,False,False,0.0,0.0
00360,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00375,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00390,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00405,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00420,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00435,Mini P.E.K.K.A,67.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,8,False,False,0.0,0.0
00450,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,Mini P.E.K.K.A,67.0,1.0,5,True,True,3.0,4.0
00465,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,5,False,False,0.0,0.0
00480,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,5,False,False,0.0,0.0
00495,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,5,False,False,0.0,0.0
00510,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,5,False,False,0.0,0.0
00525,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00540,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00555,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00570,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00585,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
00600,Inferno Dragon,56.0,Balloon,4.0,Zap,107.0,Barbarian Barrel,6.0,,,,6,False,False,0.0,0.0
