frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,6.0,,,
00240,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,6.0,,,
00255,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,6.0,,,
00270,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,6.0,,,
00285,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,7.0,,,
00300,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,7.0,,,
00315,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,7.0,,,
00330,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,7.0,,,
00345,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,7.0,,,
00360,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
00375,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
00390,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
00405,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
00420,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
00435,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
00450,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,9.0,,,
00465,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,9.0,,,
00480,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,9.0,,,
00495,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,9.0,,,
00510,Barbarian Barrel,6.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,9.0,,,
00525,Hunter,52.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
00540,Hunter,52.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
00555,Hunter,52.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
00570,Hunter,52.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
00585,Hunter,52.0,Cannon Cart,16.0,Knight,58.0,Graveyard,48.0,,,,8.0,,,
