frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Goblin Drill,41.0,Balloon,4.0,,,Skeleton Dragons,92.0,,,,6,,,
00240,Goblin Drill,41.0,Balloon,4.0,,,Skeleton Dragons,92.0,,,,6,,,
00255,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,6,,,
00270,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,7,,,
00285,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,7,,,
00300,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,7,,,
00315,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,7,,,
00330,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,7,,,
00345,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,7,,,
00360,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,8,,,
00375,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,8,,,
00390,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,8,,,
00405,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,8,,,
00420,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,8,,,
00435,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,9,,,
00450,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,9,,,
00465,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,9,,,
00480,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,9,,,
00495,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,9,,,
00510,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,9,,,
00525,Goblin Drill,41.0,Balloon,4.0,Lava Hound,59.0,Skeleton Dragons,92.0,,,,10,,,
00540,Goblin Drill,41.0,Balloon,4.0,Freeze,34.0,Skeleton Dragons,92.0,,,,3,,,
00555,Goblin Drill,41.0,Balloon,4.0,Freeze,34.0,Skeleton Dragons,92.0,,,,3,,,
00570,Bats,9.0,Balloon,4.0,Freeze,34.0,Skeleton Dragons,92.0,,,,3,,,
00585,Bats,9.0,Balloon,4.0,Freeze,34.0,Skeleton Dragons,92.0,,,,3,,,
00600,Bats,9.0,Balloon,4.0,Freeze,34.0,Skeleton Dragons,92.0,,,,3,,,
00615,Bats,9.0,Balloon,4.0,Freeze,34.0,Skeleton Dragons,92.0,,,,4,,,
00630,Bats,9.0,Balloon,4.0,Freeze,34.0,Skeleton Dragons,92.0,,,,4,,,
00645,Bats,9.0,Balloon,4.0,Freeze,34.0,Skeleton Dragons,92.0,,,,4,,,
00660,Bats,9.0,Balloon,4.0,Freeze,34.0,Skeleton Dragons,92.0,,,,4,,,
00675,Bats,9.0,Balloon,4.0,Freeze,34.0,Skeleton Dragons,92.0,,,,4,,,
