frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,6.0,,,
00255,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,6.0,,,
00270,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,6.0,,,
00285,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,6.0,,,
00300,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,7.0,,,
00315,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,7.0,,,
00330,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,7.0,,,
00345,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,7.0,,,
00360,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,7.0,,,
00375,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,8.0,,,
00390,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,8.0,,,
00405,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,8.0,,,
00420,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,8.0,,,
00435,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,8.0,,,
00450,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,8.0,,,
00465,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,9.0,,,
00480,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,9.0,,,
00495,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,9.0,,,
00510,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,9.0,,,
00525,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,9.0,,,
00540,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,10.0,,,
00555,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,10.0,,,
00570,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,10.0,,,
00585,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,10.0,,,
00600,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,10.0,,,
00615,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,10.0,,,
00630,Magic Archer,62.0,Prince,79.0,Miner,66.0,The Log,98.0,,,,10.0,,,
00645,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00660,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,The Log,98.0,,,,7.0,,,
00675,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,5.0,,,
00690,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,5.0,,,
00705,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,5.0,,,
00720,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,6.0,,,
00735,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,6.0,,,
00750,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,6.0,,,
00765,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,6.0,,,
00780,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,6.0,,,
00795,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,6.0,,,
00810,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,7.0,,,
00825,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,7.0,,,
00840,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,7.0,,,
00855,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,7.0,,,
00870,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,7.0,,,
00885,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,8.0,,,
00900,Magic Archer,62.0,Prince,79.0,Skeletons,94.0,Zap,107.0,,,,8.0,,,
00915,Magic Archer,62.0,Prince,79.0,Giant,36.0,Zap,107.0,,,,7.0,,,
00930,Magic Archer,62.0,Prince,79.0,Giant,36.0,Zap,107.0,,,,7.0,,,
00945,Magic Archer,62.0,Prince,79.0,Giant,36.0,Zap,107.0,,,,7.0,,,
00960,Magic Archer,62.0,Prince,79.0,Giant,36.0,Zap,107.0,,,,7.0,,,
00975,Magic Archer,62.0,Elite Barbarians,25.0,Bats,9.0,Zap,107.0,,,,3.0,,,
00990,Magic Archer,62.0,Bandit,5.0,Bats,9.0,Zap,107.0,,,,3.0,,,
01005,Magic Archer,62.0,Prince,79.0,Bats,9.0,Zap,107.0,,,,3.0,,,
01020,Magic Archer,62.0,Prince,79.0,Bats,9.0,Zap,107.0,,,,3.0,,,
01035,Magic Archer,62.0,Bandit,5.0,Bats,9.0,Zap,107.0,,,,3.0,,,
01050,Magic Archer,62.0,Bandit,5.0,Bats,9.0,Zap,107.0,,,,3.0,,,
01065,Magic Archer,62.0,Prince,79.0,Bats,9.0,Zap,107.0,,,,4.0,,,
01080,Magic Archer,62.0,Prince,79.0,Bats,9.0,Zap,107.0,,,,4.0,,,
01095,Magic Archer,62.0,,,Bats,9.0,Zap,107.0,,,,4.0,,,
01110,Magic Archer,62.0,Prince,79.0,Bats,9.0,Zap,107.0,,,,4.0,,,
01125,Magic Archer,62.0,,,Bats,9.0,Zap,107.0,,,,4.0,,,
01140,Magic Archer,62.0,Prince,79.0,Bats,9.0,Zap,107.0,,,,5.0,,,
01155,Magic Archer,62.0,Prince,79.0,Bats,9.0,Zap,107.0,,,,5.0,,,
01170,Magic Archer,62.0,,,Miner,66.0,Zap,107.0,,,,3.0,,,
01185,Magic Archer,62.0,,,Miner,66.0,Zap,107.0,,,,3.0,,,
01200,Magic Archer,62.0,,,Miner,66.0,Zap,107.0,,,,3.0,,,
01215,Magic Archer,62.0,,,Miner,66.0,Zap,107.0,,,,3.0,,,
01230,Magic Archer,62.0,,,Miner,66.0,Zap,107.0,,,,4.0,,,
01245,Magic Archer,62.0,,,Miner,66.0,Zap,107.0,,,,4.0,,,
01260,,,,,,,The Log,98.0,,,,2.0,,,
01275,,,,,,,The Log,98.0,,,,2.0,,,
01290,,,,,,,The Log,98.0,,,,2.0,,,
01305,,,,,Miner,66.0,The Log,98.0,,,,3.0,,,
01320,,,,,Miner,66.0,The Log,98.0,,,,3.0,,,
01335,,,,,Miner,66.0,The Log,98.0,,,,3.0,,,
01350,,,,,Miner,66.0,The Log,98.0,,,,3.0,,,
01365,,,,,Miner,66.0,The Log,98.0,,,,3.0,,,
01380,,,,,Miner,66.0,The Log,98.0,,,,3.0,,,
01395,Magic Archer,62.0,,,Miner,66.0,The Log,98.0,,,,4.0,,,
01410,,,,,,,Skeletons,94.0,,,,2.0,,,
01425,,,,,,,Skeletons,94.0,,,,2.0,,,
01440,,,,,,,Skeletons,94.0,,,,2.0,,,
01455,,,,,,,Skeletons,94.0,,,,2.0,,,
01470,,,,,,,Skeletons,94.0,,,,2.0,,,
01485,,,,,Miner,66.0,Skeletons,94.0,,,,3.0,,,
01500,,,,,Miner,66.0,Skeletons,94.0,,,,3.0,,,
01515,,,,,Miner,66.0,Skeletons,94.0,,,,3.0,,,
01530,,,,,Miner,66.0,Skeletons,94.0,,,,3.0,,,
01545,,,,,Miner,66.0,Skeletons,94.0,,,,3.0,,,
01560,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
01575,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
01590,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
01605,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
01620,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
01635,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
01650,Magic Archer,62.0,Prince,79.0,Miner,66.0,Skeletons,94.0,,,,5.0,,,
01665,Magic Archer,62.0,Prince,79.0,Miner,66.0,Skeletons,94.0,,,,5.0,,,
01680,Magic Archer,62.0,Prince,79.0,Miner,66.0,Skeletons,94.0,,,,5.0,,,
01695,,,Null,75.0,,,,,,,,0.0,,,
01710,,,,,,,,,,,,0.0,,,
01725,,,,,,,Skeletons,94.0,,,,1.0,,,
01740,,,,,,,Skeletons,94.0,,,,1.0,,,
01755,,,,,,,Skeletons,94.0,,,,1.0,,,
01770,,,,,,,Skeletons,94.0,,,,1.0,,,
01785,,,,,,,Skeletons,94.0,,,,1.0,,,
01800,,,,,,,Skeletons,94.0,,,,1.0,,,
01815,,,,,,,Skeletons,94.0,,,,2.0,,,
01830,,,,,,,Skeletons,94.0,,,,2.0,,,
01845,,,,,,,Skeletons,94.0,,,,2.0,,,
01860,,,,,,,Skeletons,94.0,,,,2.0,,,
01875,,,,,,,Skeletons,94.0,,,,2.0,,,
01890,,,,,,,Skeletons,94.0,,,,2.0,,,
01905,,,,,Miner,66.0,Skeletons,94.0,,,,3.0,,,
01920,,,,,Miner,66.0,Skeletons,94.0,,,,3.0,,,
01935,,,,,Miner,66.0,Skeletons,94.0,,,,3.0,,,
01950,,,,,Miner,66.0,Skeletons,94.0,,,,3.0,,,
01965,,,,,Miner,66.0,Skeletons,94.0,,,,3.0,,,
01980,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
01995,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
02010,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
02025,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
02040,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
02055,Magic Archer,62.0,,,Miner,66.0,Skeletons,94.0,,,,4.0,,,
02070,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,5.0,,,
02085,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,5.0,,,
02100,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,5.0,,,
02115,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,5.0,,,
02130,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,5.0,,,
02145,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,6.0,,,
02160,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,6.0,,,
02175,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,6.0,,,
02190,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,6.0,,,
02205,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,6.0,,,
02220,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,6.0,,,
02235,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,2.0,,,
02250,Magic Archer,62.0,Giant,36.0,Miner,66.0,Skeletons,94.0,,,,7.0,,,
02265,,,Bats,9.0,,,Skeletons,94.0,,,,2.0,,,
02280,,,Bats,9.0,,,Skeletons,94.0,,,,2.0,,,
02295,,,Bats,9.0,,,Skeletons,94.0,,,,2.0,,,
02310,,,Bats,9.0,,,Skeletons,94.0,,,,2.0,,,
02325,,,Bats,9.0,Miner,66.0,Skeletons,94.0,,,,3.0,,,
02340,,,Bats,9.0,Miner,66.0,Skeletons,94.0,,,,3.0,,,
02355,,,Bats,9.0,Miner,66.0,Skeletons,94.0,,,,3.0,,,
02370,,,,,,,Skeletons,94.0,,,,1.0,,,
02385,,,,,,,Skeletons,94.0,,,,1.0,,,
02400,,,Zap,107.0,,,Skeletons,94.0,,,,2.0,,,
02415,,,Zap,107.0,,,Skeletons,94.0,,,,2.0,,,
02430,,,Zap,107.0,,,Skeletons,94.0,,,,2.0,,,
02445,,,Zap,107.0,,,Skeletons,94.0,,,,2.0,,,
02460,,,Zap,107.0,,,Skeletons,94.0,,,,2.0,,,
02475,,,Zap,107.0,,,Skeletons,94.0,,,,2.0,,,
02490,,,Zap,107.0,Miner,66.0,Skeletons,94.0,,,,3.0,,,
02505,,,Zap,107.0,Miner,66.0,Skeletons,94.0,,,,3.0,,,
02520,,,Zap,107.0,Miner,66.0,Skeletons,94.0,,,,3.0,,,
02535,,,Zap,107.0,Miner,66.0,Skeletons,94.0,,,,3.0,,,
02550,,,,,,,,,,,,0.0,,,
02565,,,,,,,Skeletons,94.0,,,,1.0,,,
02580,,,,,,,Skeletons,94.0,,,,1.0,,,
02595,,,,,,,Skeletons,94.0,,,,1.0,,,
02610,,,,,,,Skeletons,94.0,,,,1.0,,,
02625,,,,,,,Skeletons,94.0,,,,1.0,,,
02640,,,,,,,Skeletons,94.0,,,,1.0,,,
02655,,,Zap,107.0,The Log,98.0,Skeletons,94.0,,,,2.0,,,
02670,,,Zap,107.0,The Log,98.0,Skeletons,94.0,,,,2.0,,,
02685,,,Zap,107.0,The Log,98.0,Skeletons,94.0,,,,2.0,,,
02700,,,,,,,,,,,,0.0,,,
02715,,,,,,,,,,,,0.0,,,
02730,,,,,,,,,,,,0.0,,,
02745,,,,,,,Skeletons,94.0,,,,1.0,,,
02760,,,,,,,Skeletons,94.0,,,,1.0,,,
02775,,,,,,,Skeletons,94.0,,,,1.0,,,
02790,,,,,,,Skeletons,94.0,,,,1.0,,,
02805,,,,,,,Skeletons,94.0,,,,1.0,,,
02820,,,,,The Log,98.0,Skeletons,94.0,,,,2.0,,,
02835,,,,,The Log,98.0,Skeletons,94.0,,,,2.0,,,
02850,,,,,The Log,98.0,Skeletons,94.0,,,,2.0,,,
02865,,,,,The Log,98.0,Skeletons,94.0,,,,2.0,,,
02880,,,,,The Log,98.0,Skeletons,94.0,,,,2.0,,,
02895,,,,,The Log,98.0,Skeletons,94.0,,,,2.0,,,
02910,,,,,The Log,98.0,Skeletons,94.0,,,,3.0,,,
02925,,,,,The Log,98.0,Skeletons,94.0,,,,3.0,,,
02940,,,,,The Log,98.0,Skeletons,94.0,,,,3.0,,,
02955,,,,,The Log,98.0,Skeletons,94.0,,,,3.0,,,
02970,,,,,The Log,98.0,Skeletons,94.0,,,,3.0,,,
02985,Magic Archer,62.0,,,The Log,98.0,Skeletons,94.0,,,,4.0,,,
03000,Magic Archer,62.0,,,The Log,98.0,Skeletons,94.0,,,,4.0,,,
03015,Magic Archer,62.0,,,The Log,98.0,Skeletons,94.0,,,,4.0,,,
03030,Magic Archer,62.0,,,The Log,98.0,Skeletons,94.0,,,,4.0,,,
03045,Magic Archer,62.0,,,The Log,98.0,Skeletons,94.0,,,,4.0,,,
03060,Magic Archer,62.0,,,The Log,98.0,Skeletons,94.0,,,,4.0,,,
03075,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,5.0,,,
03090,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,5.0,,,
03105,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,5.0,,,
03120,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,5.0,,,
03135,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,5.0,,,
03150,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,5.0,,,
03165,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,6.0,,,
03180,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,6.0,,,
03195,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,6.0,,,
03210,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,6.0,,,
03225,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,6.0,,,
03240,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,7.0,,,
03255,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,7.0,,,
03270,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,7.0,,,
03285,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,7.0,,,
03300,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,7.0,,,
03315,Magic Archer,62.0,Prince,79.0,The Log,98.0,Skeletons,94.0,,,,7.0,,,
03330,Magic Archer,62.0,Prince,79.0,The Log,98.0,Null,75.0,,,,7.0,,,
03345,Magic Archer,62.0,Prince,79.0,The Log,98.0,Giant,36.0,,,,7.0,,,
03360,Magic Archer,62.0,Prince,79.0,The Log,98.0,Giant,36.0,,,,7.0,,,
03375,Magic Archer,62.0,Prince,79.0,The Log,98.0,Giant,36.0,,,,7.0,,,
03390,Magic Archer,62.0,Prince,79.0,The Log,98.0,Giant,36.0,,,,7.0,,,
03405,Magic Archer,62.0,Prince,79.0,The Log,98.0,Giant,36.0,,,,8.0,,,
03420,Magic Archer,62.0,Prince,79.0,The Log,98.0,Giant,36.0,,,,8.0,,,
03435,Magic Archer,62.0,Prince,79.0,The Log,98.0,Giant,36.0,,,,8.0,,,
03450,Magic Archer,62.0,Prince,79.0,The Log,98.0,Giant,36.0,,,,8.0,,,
03465,Magic Archer,62.0,Prince,79.0,The Log,98.0,Giant,36.0,,,,8.0,,,
03480,Magic Archer,62.0,Prince,79.0,The Log,98.0,Giant,36.0,,,,8.0,,,
03495,Magic Archer,62.0,Prince,79.0,Null,75.0,Giant,36.0,,,,7.0,,,
03510,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,7.0,,,
03525,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,7.0,,,
03540,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,7.0,,,
03555,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,7.0,,,
03570,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,7.0,,,
03585,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,8.0,,,
03600,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,8.0,,,
03615,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,8.0,,,
03630,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,8.0,,,
03645,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,8.0,,,
03660,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,9.0,,,
03675,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,9.0,,,
03690,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,9.0,,,
03705,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,9.0,,,
03720,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,9.0,,,
03735,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,9.0,,,
03750,Magic Archer,62.0,Prince,79.0,Bats,9.0,Giant,36.0,,,,10.0,,,
03765,Magic Archer,62.0,Bandit,5.0,Bats,9.0,Giant,36.0,,,,5.0,,,
03780,Magic Archer,62.0,Miner,66.0,Bats,9.0,Giant,36.0,,,,5.0,,,
03795,Magic Archer,62.0,Miner,66.0,Bats,9.0,Giant,36.0,,,,5.0,,,
03810,Magic Archer,62.0,Miner,66.0,Bats,9.0,Giant,36.0,,,,6.0,,,
03825,Magic Archer,62.0,Miner,66.0,Bats,9.0,Giant,36.0,,,,6.0,,,
03840,Magic Archer,62.0,Miner,66.0,Bats,9.0,Giant,36.0,,,,6.0,,,
03855,Magic Archer,62.0,Miner,66.0,Bats,9.0,Giant,36.0,,,,7.0,,,
03870,,,,,Bats,9.0,Zap,107.0,,,,2.0,,,
