frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,6,,,
00240,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,6,,,
00255,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,6,,,
00270,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,6,,,
00285,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
00300,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
00315,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
00330,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
00345,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,7,,,
00360,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,8,,,
00375,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,8,,,
00390,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,8,,,
00405,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,8,,,
00420,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,8,,,
00435,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,8,,,
00450,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,9,,,
00465,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,9,,,
00480,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Tesla,97.0,,,,9,,,
00495,Fireball,30.0,Skeletons,94.0,Archers,1.0,Tesla,97.0,,,,8,,,
00510,Fireball,30.0,Skeletons,94.0,Archers,1.0,Tesla,97.0,,,,8,,,
00525,Fireball,30.0,Skeletons,94.0,Archers,1.0,Tesla,97.0,,,,9,,,
00540,Fireball,30.0,Skeletons,94.0,Archers,1.0,Tesla,97.0,,,,9,,,
00555,Fireball,30.0,The Log,98.0,Archers,1.0,Tesla,97.0,,,,8,,,
00570,Fireball,30.0,The Log,98.0,Archers,1.0,Tesla,97.0,,,,8,,,
00585,Fireball,30.0,The Log,98.0,Archers,1.0,Tesla,97.0,,,,8,,,
00600,Fireball,30.0,The Log,98.0,Archers,1.0,Tesla,97.0,,,,8,,,
00615,Fireball,30.0,The Log,98.0,Archers,1.0,Tesla,97.0,,,,9,,,
00630,Fireball,30.0,The Log,98.0,Archers,1.0,Tesla,97.0,,,,9,,,
00645,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,6,,,
00660,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,6,,,
00675,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,6,,,
00690,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,6,,,
00705,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7,,,
00720,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7,,,
00735,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7,,,
00750,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7,,,
00765,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7,,,
00780,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8,,,
00795,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8,,,
00810,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8,,,
00825,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8,,,
00840,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8,,,
00855,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8,,,
00870,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,9,,,
00885,Fireball,30.0,The Log,98.0,X,106.0,Tesla,97.0,,,,9,,,
00900,Fireball,30.0,The Log,98.0,X,106.0,Golden Knight,46.0,,,,5,,,
00915,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,5,,,
00930,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,5,,,
00945,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,6,,,
00960,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,6,,,
00975,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,6,,,
00990,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,6,,,
01005,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,6,,,
01020,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,6,,,
01035,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,7,,,
01050,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,7,,,
01065,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,7,,,
01080,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,7,,,
01095,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,7,,,
01110,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,7,,,
01125,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,8,,,
01140,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,8,,,
01155,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,8,,,
01170,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,8,,,
01185,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,8,,,
01200,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,9,,,
01215,Fireball,30.0,The Log,98.0,X,106.0,Knight,58.0,,,,9,,,
01230,Inferno Tower,57.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,3,,,
01245,,,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,3,,,
01260,,,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,3,,,
01275,,,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,3,,,
01290,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,4,,,
01305,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,4,,,
01320,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,4,,,
01335,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,4,,,
01350,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,4,,,
01365,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,5,,,
01380,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,5,,,
01395,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,5,,,
01410,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,5,,,
01425,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,5,,,
01440,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,5,,,
01455,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,6,,,
01470,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,6,,,
01485,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,6,,,
01500,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,6,,,
01515,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,6,,,
01530,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,6,,,
01545,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,7,,,
01560,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,7,,,
01575,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,7,,,
01590,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,7,,,
01605,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,7,,,
01620,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,8,,,
01635,Fireball,30.0,The Log,98.0,Ice Spirit,54.0,Knight,58.0,,,,8,,,
01650,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Knight,58.0,,,,6,,,
01665,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Knight,58.0,,,,6,,,
01680,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Knight,58.0,,,,6,,,
01695,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Knight,58.0,,,,6,,,
01710,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Knight,58.0,,,,7,,,
01725,Fireball,30.0,Skeletons,94.0,Ice Spirit,54.0,Knight,58.0,,,,7,,,
01740,Fireball,30.0,Skeletons,94.0,Hog Rider,51.0,Knight,58.0,,,,6,,,
01755,Fireball,30.0,Skeletons,94.0,Archers,1.0,Knight,58.0,,,,6,,,
01770,Fireball,30.0,Skeletons,94.0,Archers,1.0,Knight,58.0,,,,6,,,
01785,Fireball,30.0,Skeletons,94.0,Archers,1.0,Knight,58.0,,,,7,,,
01800,Fireball,30.0,Skeletons,94.0,Archers,1.0,Knight,58.0,,,,7,,,
01815,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,4,,,
01830,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,4,,,
01845,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,4,,,
01860,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,4,,,
01875,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,5,,,
01890,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,5,,,
01905,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,5,,,
01920,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,5,,,
01935,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,5,,,
01950,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,5,,,
01965,Fireball,30.0,Skeletons,94.0,Tesla,97.0,Knight,58.0,,,,6,,,
01980,,,Skeletons,94.0,,,,,,,,3,,,
01995,,,Skeletons,94.0,,,,,,,,3,,,
02010,,,Skeletons,94.0,,,,,,,,3,,,
02025,,,Skeletons,94.0,,,,,,,,3,,,
02040,Fireball,30.0,Skeletons,94.0,Tesla,97.0,,,,,,4,,,
02055,,,Null,75.0,Goblin Drill,41.0,,,,,,3,,,
02070,,,The Log,98.0,,,,,,,,3,,,
02085,,,The Log,98.0,,,,,,,,3,,,
02100,,,The Log,98.0,,,,,,,,3,,,
02115,,,The Log,98.0,,,,,,,,3,,,
02130,Fireball,30.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
02145,,,Ice Spirit,54.0,,,,,,,,2,,,
02160,,,Ice Spirit,54.0,,,,,,,,2,,,
02175,,,Ice Spirit,54.0,,,,,,,,2,,,
02190,,,Ice Spirit,54.0,,,,,,,,2,,,
02205,,,Ice Spirit,54.0,,,,,,,,3,,,
02220,,,Ice Spirit,54.0,,,,,,,,3,,,
02235,,,Ice Spirit,54.0,,,,,,,,3,,,
02250,,,Ice Spirit,54.0,,,,,,,,3,,,
02265,,,Ice Spirit,54.0,,,,,,,,3,,,
02280,,,Ice Spirit,54.0,,,,,,,,3,,,
02295,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,4,,,
02310,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,4,,,
02325,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,4,,,
02340,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,4,,,
02355,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,4,,,
02370,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,4,,,
02385,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,5,,,
02400,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,5,,,
02415,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,5,,,
02430,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,5,,,
02445,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,,,,,,5,,,
02460,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,6,,,
02475,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,X,106.0,,,,6,,,
02490,,,,,,,,,,,,0,,,
02505,,,,,,,,,,,,0,,,
02520,,,,,,,,,,,,0,,,
02535,,,,,,,,,,,,0,,,
02550,,,Ice Spirit,54.0,,,,,,,,1,,,
02565,,,Ice Spirit,54.0,,,,,,,,1,,,
02580,,,Ice Spirit,54.0,,,,,,,,1,,,
02595,,,Ice Spirit,54.0,,,,,,,,1,,,
02610,,,Ice Spirit,54.0,,,,,,,,1,,,
02625,,,Ice Spirit,54.0,,,,,,,,2,,,
02640,,,Ice Spirit,54.0,,,,,,,,2,,,
02655,,,Ice Spirit,54.0,,,,,,,,2,,,
02670,,,Ice Spirit,54.0,,,,,,,,2,,,
02685,,,Ice Spirit,54.0,,,,,,,,2,,,
02700,,,Ice Spirit,54.0,,,,,,,,2,,,
02715,,,Ice Spirit,54.0,,,Archers,1.0,,,,3,,,
02730,,,Ice Spirit,54.0,,,Archers,1.0,,,,3,,,
02745,,,Ice Spirit,54.0,,,Archers,1.0,,,,3,,,
02760,,,Ice Spirit,54.0,,,Archers,1.0,,,,3,,,
02775,,,Ice Spirit,54.0,,,Archers,1.0,,,,3,,,
02790,,,Ice Spirit,54.0,,,Archers,1.0,,,,3,,,
02805,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,4,,,
02820,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,4,,,
02835,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,4,,,
02850,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,4,,,
02865,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,4,,,
02880,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,5,,,
02895,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,5,,,
02910,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,5,,,
02925,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,5,,,
02940,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,5,,,
02955,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,5,,,
02970,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,6,,,
02985,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,6,,,
03000,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,6,,,
03015,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,6,,,
03030,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,6,,,
03045,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,7,,,
03060,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,7,,,
03075,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,7,,,
03090,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,7,,,
03105,Fireball,30.0,Ice Spirit,54.0,Tesla,97.0,Archers,1.0,,,,7,,,
03120,Fireball,30.0,Elite Barbarians,25.0,Tesla,97.0,Archers,1.0,,,,6,,,
03135,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,7,,,
03150,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,7,,,
03165,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,7,,,
03180,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,7,,,
03195,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,7,,,
03210,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,7,,,
03225,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,8,,,
03240,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,8,,,
03255,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,8,,,
03270,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,8,,,
03285,Fireball,30.0,Knight,58.0,Tesla,97.0,Archers,1.0,,,,8,,,
