frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,6,False,False,,,
00255,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,6,False,False,,,
00270,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,6,False,False,,,
00285,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,7,False,False,,,
00300,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,7,False,False,,,
00315,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,7,False,False,,,
00330,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,7,False,False,,,
00345,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,7,False,False,,,
00360,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,7,False,False,,,
00375,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00390,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00405,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00420,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00435,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00450,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00465,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00480,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00495,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00510,Archers,1.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00525,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,Archers,1.0,1.0,6,True,True,,Archers,3.0
00540,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,7,False,False,,,
00555,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,7,False,False,,,
00570,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00585,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00600,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00615,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00630,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00645,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00660,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00675,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00690,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00705,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00720,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00735,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00750,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00765,The Log,98.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00780,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,The Log,98.0,1.0,7,True,True,,The Log,2.0
00795,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00810,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00825,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00840,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00855,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,8,False,False,,,
00870,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00885,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00900,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00915,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00930,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00945,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Miner,66.0,,,,9,False,False,,,
00960,Wall Breakers,103.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,Miner,66.0,4.0,7,True,True,,Miner,3.0
00975,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,Wall Breakers,103.0,1.0,5,True,True,,Wall Breakers,2.0
00990,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,5,False,False,,,
01005,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,5,False,False,,,
01020,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,5,False,False,,,
01035,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,6,False,False,,,
01050,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,6,False,False,,,
01065,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,6,False,False,,,
01080,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,6,False,False,,,
01095,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,6,False,False,,,
01110,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,6,False,False,,,
01125,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,7,False,False,,,
01140,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,7,False,False,,,
01155,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,7,False,False,,,
01170,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,7,False,False,,,
01185,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,7,False,False,,,
01200,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,7,False,False,,,
01215,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,8,False,False,,,
01230,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,8,False,False,,,
01245,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,8,False,False,,,
01260,Knight,58.0,Bomb Tower,12.0,Hunter,52.0,Earthquake,20.0,,,,8,False,False,,,
