frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,6.0,,,
00255,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,6.0,,,
00270,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,6.0,,,
00285,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00300,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00315,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00330,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00345,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00360,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00375,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,8.0,,,
00390,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,8.0,,,
00405,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,8.0,,,
00420,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,8.0,,,
00435,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,8.0,,,
00450,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,9.0,,,
00465,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,9.0,,,
00480,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,9.0,,,
00495,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,9.0,,,
00510,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,9.0,,,
00525,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,9.0,,,
00540,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,10.0,,,
00555,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,10.0,,,
00570,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,10.0,,,
00585,Wall Breakers,103.0,Musketeer,73.0,Zap,107.0,Miner,66.0,,,,10.0,,,
00600,Wall Breakers,103.0,Null,75.0,Zap,107.0,Miner,66.0,,,,6.0,,,
00615,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,6.0,,,
00630,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,6.0,,,
00645,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,6.0,,,
00660,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,6.0,,,
00675,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,6.0,,,
00690,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00705,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00720,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00735,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00750,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00765,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,7.0,,,
00780,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,8.0,,,
00795,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,8.0,,,
00810,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,8.0,,,
00825,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,8.0,,,
00840,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Miner,66.0,,,,8.0,,,
00855,Wall Breakers,103.0,Royal Delivery,85.0,Zap,107.0,Bandit,5.0,,,,6.0,,,
00870,Null,75.0,Royal Delivery,85.0,Zap,107.0,Bandit,5.0,,,,4.0,,,
00885,Bats,9.0,Royal Delivery,85.0,Zap,107.0,Bandit,5.0,,,,4.0,,,
00900,Bats,9.0,Royal Delivery,85.0,Zap,107.0,Bandit,5.0,,,,4.0,,,
00915,Bats,9.0,Royal Delivery,85.0,Zap,107.0,Bandit,5.0,,,,4.0,,,
00930,,,,,,,Null,75.0,,,,1.0,,,
00945,Bats,9.0,,,Zap,107.0,,,,,,2.0,,,
00960,Bats,9.0,,,Zap,107.0,,,,,,2.0,,,
00975,Bats,9.0,,,Zap,107.0,,,,,,2.0,,,
00990,Bats,9.0,,,Zap,107.0,,,,,,2.0,,,
01005,Bats,9.0,,,Zap,107.0,,,,,,2.0,,,
01020,Bats,9.0,Royal Delivery,85.0,Zap,107.0,,,,,,3.0,,,
01035,Bats,9.0,Royal Delivery,85.0,Zap,107.0,,,,,,3.0,,,
01050,Bats,9.0,Royal Delivery,85.0,Zap,107.0,,,,,,3.0,,,
01065,Bats,9.0,Royal Delivery,85.0,Zap,107.0,,,,,,3.0,,,
01080,Bats,9.0,,,Null,75.0,,,,,,2.0,,,
01095,,,,,,,,,,,,1.0,,,
01110,Bats,9.0,,,,,,,,,,2.0,,,
01125,Bats,9.0,,,,,,,,,,2.0,,,
01140,Bats,9.0,,,,,,,,,,2.0,,,
01155,Bats,9.0,,,,,,,,,,2.0,,,
01170,Bats,9.0,,,,,,,,,,2.0,,,
01185,Bats,9.0,Royal Delivery,85.0,,,,,,,,3.0,,,
01200,Bats,9.0,Royal Delivery,85.0,,,,,,,,3.0,,,
01215,Bats,9.0,Royal Delivery,85.0,,,,,,,,3.0,,,
01230,Bats,9.0,Royal Delivery,85.0,,,,,,,,3.0,,,
01245,Bats,9.0,Royal Delivery,85.0,,,,,,,,3.0,,,
01260,Bats,9.0,Royal Delivery,85.0,,,,,,,,3.0,,,
01275,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,4.0,,,
01290,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,4.0,,,
01305,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,4.0,,,
01320,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,4.0,,,
01335,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,4.0,,,
01350,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,4.0,,,
01365,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,5.0,,,
01380,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,5.0,,,
01395,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,5.0,,,
01410,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,5.0,,,
01425,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,5.0,,,
01440,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,6.0,,,
01455,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,6.0,,,
01470,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,6.0,,,
01485,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,6.0,,,
01500,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,6.0,,,
01515,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,,,,,,6.0,,,
01530,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,7.0,,,
01545,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,7.0,,,
01560,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,7.0,,,
01575,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,7.0,,,
01590,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,7.0,,,
01605,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,7.0,,,
01620,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,8.0,,,
01635,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,8.0,,,
01650,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,8.0,,,
01665,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,8.0,,,
01680,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,8.0,,,
01695,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,9.0,,,
01710,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,9.0,,,
01725,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,9.0,,,
01740,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Mega Knight,63.0,,,,9.0,,,
01755,Bats,9.0,,,,,P.E.K.K.A,76.0,,,,2.0,,,
01770,Bats,9.0,,,,,,,,,,2.0,,,
01785,Bats,9.0,Royal Delivery,85.0,,,Miner,66.0,,,,3.0,,,
01800,Bats,9.0,Royal Delivery,85.0,,,Miner,66.0,,,,3.0,,,
01815,Bats,9.0,Royal Delivery,85.0,,,Miner,66.0,,,,3.0,,,
01830,Bats,9.0,Royal Delivery,85.0,,,Miner,66.0,,,,3.0,,,
01845,Bats,9.0,Royal Delivery,85.0,,,Miner,66.0,,,,3.0,,,
01860,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Miner,66.0,,,,4.0,,,
01875,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Miner,66.0,,,,4.0,,,
01890,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Miner,66.0,,,,4.0,,,
01905,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Miner,66.0,,,,4.0,,,
01920,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Miner,66.0,,,,4.0,,,
01935,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Miner,66.0,,,,4.0,,,
01950,Bats,9.0,Royal Delivery,85.0,Musketeer,73.0,Miner,66.0,,,,5.0,,,
