frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,6,,,
00255,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,6,,,
00270,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,6,,,
00285,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,7,,,
00300,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,7,,,
00315,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,7,,,
00330,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,7,,,
00345,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,7,,,
00360,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,7,,,
00375,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,8,,,
00390,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,8,,,
00405,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,8,,,
00420,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,8,,,
00435,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,8,,,
00450,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00465,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00480,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00495,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00510,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00525,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00540,Skeletons,94.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,10,,,
00555,Knight,58.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00570,Knight,58.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00585,Knight,58.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00600,Knight,58.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00615,Knight,58.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,9,,,
00630,Knight,58.0,X,106.0,Ice Wizard,55.0,Rocket,84.0,,,,10,,,
00645,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,7,,,
00660,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,7,,,
00675,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,7,,,
00690,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,7,,,
00705,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,7,,,
00720,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00735,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00750,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00765,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00780,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00795,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,8,,,
00810,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00825,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00840,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00855,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00870,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00885,Knight,58.0,X,106.0,Tesla,97.0,Rocket,84.0,,,,9,,,
00900,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
00915,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
00930,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
00945,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
00960,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
00975,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
00990,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01005,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01020,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01035,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01050,Knight,58.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01065,Knight,58.0,The Log,98.0,Tesla,97.0,Rocket,84.0,,,,6,,,
01080,Knight,58.0,The Log,98.0,Tesla,97.0,Rocket,84.0,,,,6,,,
01095,Knight,58.0,The Log,98.0,Tesla,97.0,Rocket,84.0,,,,6,,,
01110,Knight,58.0,The Log,98.0,Tesla,97.0,Rocket,84.0,,,,6,,,
01125,Knight,58.0,The Log,98.0,Tesla,97.0,Rocket,84.0,,,,6,,,
01140,Null,75.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
01155,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
01170,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
01185,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
01200,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
01215,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,4,,,
01230,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01245,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01260,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01275,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01290,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01305,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,,,5,,,
01320,Tornado,101.0,The Log,98.0,Tesla,97.0,Rocket,84.0,,,,6,,,
01335,Tornado,101.0,The Log,98.0,Tesla,97.0,Rocket,84.0,,,,6,,,
01350,Tornado,101.0,The Log,98.0,Tesla,97.0,Rocket,84.0,,,,6,,,
01365,Tornado,101.0,The Log,98.0,Tesla,97.0,Rocket,84.0,,,,6,,,
