frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00240,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00255,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00270,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00285,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00300,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00315,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00330,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00345,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00360,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00375,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00390,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00405,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00420,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00435,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00450,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00465,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00480,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00495,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00510,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00525,Tesla,97.0,Archers,1.0,Fireball,30.0,X,106.0,,,,8,,,
00540,Tesla,97.0,Archers,1.0,Fireball,30.0,X,106.0,,,,9,,,
00555,Tesla,97.0,Archers,1.0,Fireball,30.0,X,106.0,,,,9,,,
00570,Tesla,97.0,Archers,1.0,Fireball,30.0,X,106.0,,,,9,,,
00585,Tesla,97.0,Archers,1.0,Fireball,30.0,X,106.0,,,,9,,,
00600,Tesla,97.0,Archers,1.0,Fireball,30.0,X,106.0,,,,9,,,
00615,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,10,,,
00630,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,10,,,
00645,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,7,,,
00660,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,7,,,
00675,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,1,,,
00690,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,1,,,
00705,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,2,,,
00720,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,2,,,
00735,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,2,,,
00750,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,2,,,
00765,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,2,,,
00780,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,2,,,
00795,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,3,,,
00810,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,3,,,
00825,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,3,,,
00840,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,3,,,
00855,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,3,,,
00870,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,4,,,
00885,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,4,,,
00900,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,4,,,
00915,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,4,,,
00930,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,4,,,
00945,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,4,,,
00960,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,5,,,
00975,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,5,,,
00990,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,5,,,
01005,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,5,,,
01020,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,5,,,
01035,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,6,,,
01050,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,6,,,
01065,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,6,,,
01080,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,6,,,
01095,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,6,,,
01110,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,6,,,
01125,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,3,,,
01140,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,3,,,
01155,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,3,,,
01170,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,3,,,
01185,Tesla,97.0,Skeletons,94.0,Fireball,30.0,The Log,98.0,,,,3,,,
01200,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,5,,,
01215,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,6,,,
01230,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,6,,,
01245,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,6,,,
01260,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,6,,,
01275,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,6,,,
01290,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,7,,,
01305,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,7,,,
01320,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,7,,,
01335,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,7,,,
01350,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,7,,,
01365,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,7,,,
01380,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,8,,,
01395,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,8,,,
01410,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,8,,,
01425,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,8,,,
01440,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Knight,58.0,,,,8,,,
