frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00255,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,6,False,False,,,
00270,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,6,False,False,,,
00285,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00300,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00315,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00330,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00345,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00360,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00375,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00390,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00405,Skeletons,94.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00420,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,Skeletons,94.0,1.0,7,True,True,,Skeletons,1.0
00435,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00450,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00465,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00480,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00495,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00510,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00525,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00540,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
00555,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
00570,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
00585,Goblin Cage,40.0,Bats,9.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
00600,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,Bats,9.0,2.0,7,True,True,,Bats,2.0
00615,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00630,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00645,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00660,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00675,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00690,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00705,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
00720,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
00735,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
00750,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
00765,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
00780,Goblin Cage,40.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
00795,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,Goblin Cage,40.0,1.0,6,True,True,,Goblin Cage,4.0
00810,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,6,False,False,,,
00825,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,6,False,False,,,
00840,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,6,False,False,,,
00855,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,6,False,False,,,
00870,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,6,False,False,,,
00885,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00900,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00915,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00930,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00945,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00960,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,7,False,False,,,
00975,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
00990,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
01005,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
01020,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
01035,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,8,False,False,,,
01050,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
01065,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
01080,Heal Spirit,50.0,Cannon Cart,16.0,Firecracker,31.0,Royal Delivery,85.0,,,,9,False,False,,,
01095,Heal Spirit,50.0,Skeletons,94.0,Firecracker,31.0,Royal Delivery,85.0,Cannon Cart,16.0,2.0,9,True,False,,Cannon Cart,5.0
01110,Heal Spirit,50.0,Skeletons,94.0,Earthquake,20.0,Royal Delivery,85.0,Firecracker,31.0,3.0,6,True,True,,Firecracker,3.0
01125,Heal Spirit,50.0,Skeletons,94.0,Earthquake,20.0,Royal Delivery,85.0,,,,6,False,False,,,
01140,Heal Spirit,50.0,Skeletons,94.0,Earthquake,20.0,Royal Delivery,85.0,,,,7,False,False,,,
01155,Heal Spirit,50.0,Skeletons,94.0,Earthquake,20.0,Royal Delivery,85.0,,,,7,False,False,,,
01170,Heal Spirit,50.0,Skeletons,94.0,Earthquake,20.0,Royal Delivery,85.0,,,,7,False,False,,,
01185,Heal Spirit,50.0,Skeletons,94.0,Earthquake,20.0,Royal Delivery,85.0,,,,7,False,False,,,
01200,Heal Spirit,50.0,Skeletons,94.0,Earthquake,20.0,Royal Delivery,85.0,,,,7,False,False,,,
