frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,6,False,False,,,
00240,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,6,False,False,,,
00255,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,6,False,False,,,
00270,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,7,False,False,,,
00285,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,7,False,False,,,
00300,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,7,False,False,,,
00315,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,7,False,False,,,
00330,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,7,False,False,,,
00345,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,7,False,False,,,
00360,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,8,False,False,,,
00375,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,8,False,False,,,
00390,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,8,False,False,,,
00405,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,8,False,False,,,
00420,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,8,False,False,,,
00435,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,8,False,False,,,
00450,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,9,False,False,,,
00465,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,9,False,False,,,
00480,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,9,False,False,,,
00495,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,9,False,False,,,
00510,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,9,False,False,,,
00525,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00540,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00555,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00570,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00585,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00600,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00615,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00630,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00645,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00660,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00675,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00690,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00705,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00720,Goblin Cage,40.0,Skeleton Dragons,92.0,Fireball,30.0,Musketeer,73.0,,,,10,False,False,,,
00735,Goblin Cage,40.0,Cannon Cart,16.0,Fireball,30.0,Musketeer,73.0,Skeleton Dragons,92.0,2.0,6,True,True,,Skeleton Dragons,4.0
00750,Goblin Cage,40.0,Cannon Cart,16.0,Fireball,30.0,Musketeer,73.0,,,,6,False,False,,,
00765,Goblin Cage,40.0,Cannon Cart,16.0,Fireball,30.0,Musketeer,73.0,,,,6,False,False,,,
00780,Goblin Cage,40.0,Cannon Cart,16.0,Fireball,30.0,Musketeer,73.0,,,,6,False,False,,,
00795,Goblin Cage,40.0,Cannon Cart,16.0,Fireball,30.0,Musketeer,73.0,,,,6,False,False,,,
00810,Goblin Cage,40.0,Cannon Cart,16.0,Fireball,30.0,Musketeer,73.0,,,,6,False,False,,,
00825,Goblin Cage,40.0,Cannon Cart,16.0,Fireball,30.0,Musketeer,73.0,,,,7,False,False,,,
00840,Goblin Cage,40.0,Cannon Cart,16.0,Fireball,30.0,Musketeer,73.0,,,,7,False,False,,,
