frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,6,,,
00255,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,6,,,
00270,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,6,,,
00285,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
00300,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
00315,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
00330,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
00345,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
00360,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
00375,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
00390,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
00405,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
00420,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
00435,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
00450,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
00465,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
00480,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
00495,Skeletons,94.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
00510,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
00525,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
00540,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
00555,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
00570,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
00585,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
00600,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
00615,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
00630,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
00645,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
00660,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
00675,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
00690,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
00705,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
00720,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
00735,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
00750,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
00765,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
00780,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
00795,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
00810,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
00825,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
00840,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
00855,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
00870,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,10,,,
00885,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,10,,,
00900,Tesla,97.0,X,106.0,Tornado,101.0,Knight,58.0,,,,10,,,
00915,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,6,,,
00930,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,6,,,
00945,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,6,,,
00960,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,6,,,
00975,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,6,,,
00990,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,6,,,
01005,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
01020,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
01035,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
01050,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
01065,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,7,,,
01080,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
01095,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
01110,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
01125,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
01140,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
01155,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,8,,,
01170,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
01185,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
01200,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
01215,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
01230,Rocket,84.0,X,106.0,Tornado,101.0,Knight,58.0,,,,9,,,
01245,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,4,,,
01260,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,4,,,
01275,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,4,,,
01290,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,4,,,
01305,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,4,,,
01320,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,4,,,
01335,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,5,,,
01350,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,5,,,
01365,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,5,,,
01380,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,5,,,
01395,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,5,,,
01410,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,5,,,
01425,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,6,,,
01440,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,6,,,
01455,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,6,,,
01470,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,6,,,
01485,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,6,,,
01500,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,7,,,
01515,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,7,,,
01530,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,7,,,
01545,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,7,,,
01560,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,7,,,
01575,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,7,,,
01590,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,8,,,
01605,Rocket,84.0,The Log,98.0,Tornado,101.0,Knight,58.0,,,,8,,,
01620,Rocket,84.0,The Log,98.0,Tornado,101.0,Skeletons,94.0,,,,5,,,
01635,Rocket,84.0,The Log,98.0,Tornado,101.0,Skeletons,94.0,,,,5,,,
01650,Rocket,84.0,The Log,98.0,Tornado,101.0,Skeletons,94.0,,,,5,,,
01665,Rocket,84.0,The Log,98.0,Tornado,101.0,Skeletons,94.0,,,,6,,,
01680,Rocket,84.0,The Log,98.0,Tornado,101.0,Skeletons,94.0,,,,6,,,
01695,Rocket,84.0,The Log,98.0,Tornado,101.0,Skeletons,94.0,,,,6,,,
01710,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,5,,,
01725,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,5,,,
01740,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,5,,,
01755,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,6,,,
01770,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,6,,,
01785,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,6,,,
01800,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,6,,,
01815,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,6,,,
01830,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,6,,,
01845,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
01860,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
01875,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
01890,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
01905,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,,,
01920,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
01935,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
01950,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
01965,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
01980,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
01995,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,,,
02010,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
02025,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
02040,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
02055,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
02070,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,,,
02085,Rocket,84.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,10,,,
02100,Rocket,84.0,The Log,98.0,Tornado,101.0,Tesla,97.0,,,,7,,,
02115,Rocket,84.0,The Log,98.0,Tornado,101.0,Tesla,97.0,,,,7,,,
