frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,6,,,
00255,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,6,,,
00270,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,7,,,
00285,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,7,,,
00300,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,7,,,
00315,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,7,,,
00330,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,7,,,
00345,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,7,,,
00360,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00375,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00390,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00405,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00420,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00435,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00450,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,9,,,
00465,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,9,,,
00480,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,9,,,
00495,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,9,,,
00510,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,9,,,
00525,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00540,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00555,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00570,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00585,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00600,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00615,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00630,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00645,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00660,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00675,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00690,Knight,58.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00705,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00720,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,10,,,
00735,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,7,,,
00750,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,7,,,
00765,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,7,,,
00780,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,7,,,
00795,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00810,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00825,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00840,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00855,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,8,,,
00870,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,9,,,
00885,Skeletons,94.0,Cannon Cart,16.0,Mortar,71.0,Baby Dragon,3.0,,,,9,,,
