frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
00255,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
00270,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,2.0,,,
00285,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
00300,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
00315,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
00330,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
00345,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
00360,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
00375,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
00390,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
00405,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
00420,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
00435,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
00450,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
00465,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
00480,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
00495,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
00510,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
00525,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00540,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00555,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00570,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00585,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00600,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00615,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00630,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00645,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00660,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00675,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00690,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00705,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00720,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00735,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00750,Dark Prince,18.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,10.0,,,
00765,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
00780,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
00795,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
00810,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
00825,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
00840,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,2.0,,,
00855,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
00870,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
00885,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
00900,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
00915,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
00930,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
00945,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
00960,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
00975,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
00990,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
01005,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
01020,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
01035,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
01050,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
01065,Electro Wizard,24.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
01080,Null,75.0,,,Sparky,95.0,Zap,107.0,,,,5.0,,,
01095,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
01110,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
01125,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
01140,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
01155,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,6.0,,,
01170,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,2.0,,,
01185,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
01200,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
01215,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
01230,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
01245,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,7.0,,,
01260,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
01275,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
01290,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
01305,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
01320,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
01335,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,8.0,,,
01350,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
01365,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
01380,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
01395,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
01410,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Zap,107.0,,,,9.0,,,
01425,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,8.0,,,
01440,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,8.0,,,
01455,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,8.0,,,
01470,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,8.0,,,
01485,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,8.0,,,
01500,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,8.0,,,
01515,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,9.0,,,
01530,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,9.0,,,
01545,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,9.0,,,
01560,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,9.0,,,
01575,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,9.0,,,
01590,Mini P.E.K.K.A,67.0,Lightning,60.0,Sparky,95.0,Mega Minion,64.0,,,,10.0,,,
