frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,6,,,
00255,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,6,,,
00270,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,7,,,
00285,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,7,,,
00300,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,7,,,
00315,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,7,,,
00330,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,7,,,
00345,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,7,,,
00360,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00375,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00390,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00405,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00420,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00435,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00450,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,9,,,
00465,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,9,,,
00480,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,9,,,
00495,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,9,,,
00510,Giant Snowball,38.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,9,,,
00525,Mega Knight,63.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00540,Mega Knight,63.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00555,Mega Knight,63.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00570,Mega Knight,63.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00585,Mega Knight,63.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00600,Mega Knight,63.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,8,,,
00615,Mega Knight,63.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,9,,,
00630,Mega Knight,63.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,9,,,
00645,Mega Knight,63.0,Archer Queen,0.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,9,,,
00660,Mega Knight,63.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,9,,,
00675,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,2,,,
00690,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,2,,,
00705,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,3,,,
00720,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,3,,,
00735,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,3,,,
00750,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,3,,,
00765,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,3,,,
00780,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,4,,,
00795,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,4,,,
00810,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,4,,,
00825,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,4,,,
00840,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,4,,,
00855,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,4,,,
00870,Bandit,5.0,Poison,78.0,Inferno Dragon,56.0,Ram Rider,82.0,,,,5,,,
