frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,6.0,,,
00255,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,6.0,,,
00270,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,3.0,,,
00285,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,7.0,,,
00300,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,7.0,,,
00315,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,7.0,,,
00330,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,7.0,,,
00345,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,7.0,,,
00360,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,8.0,,,
00375,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,8.0,,,
00390,Rocket,84.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,8.0,,,
00405,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,8.0,,,
00420,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,8.0,,,
00435,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,8.0,,,
00450,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,9.0,,,
00465,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,9.0,,,
00480,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,9.0,,,
00495,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,9.0,,,
00510,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,9.0,,,
00525,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00540,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00555,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00570,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00585,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00600,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00615,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00630,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00645,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00660,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00675,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00690,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00705,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00720,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00735,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00750,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00765,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00780,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Royal Ghost,86.0,,,,10.0,,,
00795,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
00810,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
00825,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
00840,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
00855,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
00870,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
00885,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
00900,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
00915,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
00930,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
00945,Golden Knight,46.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
00960,Golden Knight,46.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,9.0,,,
00975,Cannon Cart,16.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,9.0,,,
00990,Heal Spirit,50.0,Hunter,52.0,,,Barbarian Barrel,6.0,,,,3.0,,,
01005,Heal Spirit,50.0,Hunter,52.0,,,Barbarian Barrel,6.0,,,,3.0,,,
01020,Heal Spirit,50.0,Hunter,52.0,,,Barbarian Barrel,6.0,,,,3.0,,,
01035,Heal Spirit,50.0,Hunter,52.0,,,Barbarian Barrel,6.0,,,,3.0,,,
01050,Heal Spirit,50.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01065,Heal Spirit,50.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01080,Heal Spirit,50.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01095,Heal Spirit,50.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01110,Heal Spirit,50.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01125,Heal Spirit,50.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01140,Heal Spirit,50.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01155,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01170,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01185,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01200,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01215,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01230,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01245,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01260,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01275,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01290,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01305,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01320,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01335,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01350,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01365,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01380,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01395,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01410,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01425,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01440,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01455,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01470,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
01485,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
01500,Electro Wizard,24.0,Hunter,52.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
01515,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01530,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,4.0,,,
01545,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01560,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01575,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01590,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01605,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01620,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,5.0,,,
01635,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01650,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01665,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01680,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01695,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01710,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,6.0,,,
01725,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01740,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01755,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01770,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01785,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,7.0,,,
01800,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
01815,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
01830,Electro Wizard,24.0,Fisherman,32.0,Fireball,30.0,Barbarian Barrel,6.0,,,,8.0,,,
