frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,6,False,False,,,
00240,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,6,False,False,,,
00255,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,6,False,False,,,
00270,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,7,False,False,,,
00285,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,7,False,False,,,
00300,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,7,False,False,,,
00315,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,7,False,False,,,
00330,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,7,False,False,,,
00345,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,7,False,False,,,
00360,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,8,False,False,,,
00375,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,8,False,False,,,
00390,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,8,False,False,,,
00405,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,8,False,False,,,
00420,X,106.0,Ice Spirit,54.0,Ice Golem,53.0,Skeletons,94.0,,,,8,False,False,,,
00435,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,Ice Spirit,54.0,2.0,7,True,True,,Ice Spirit,1.0
00450,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,8,False,False,,,
00465,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,8,False,False,,,
00480,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,8,False,False,,,
00495,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,8,False,False,,,
00510,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,8,False,False,,,
00525,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,9,False,False,,,
00540,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,9,False,False,,,
00555,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,9,False,False,,,
00570,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,9,False,False,,,
00585,X,106.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,9,False,False,,,
00600,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,X,106.0,1.0,3,True,True,,X,6.0
00615,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,4,False,False,,,
00630,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,4,False,False,,,
00645,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,4,False,False,,,
00660,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,Skeletons,94.0,,,,4,False,False,,,
00675,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,Skeletons,94.0,4.0,3,True,True,,Skeletons,1.0
00690,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
00705,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
00720,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
00735,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
00750,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
00765,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
00780,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,5,False,False,,,
00795,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,5,False,False,,,
00810,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,5,False,False,,,
00825,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,Fireball,30.0,1.0,1,True,True,,Fireball,4.0
00840,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,1,False,False,,,
00855,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,1,False,False,,,
00870,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,2,False,False,,,
00885,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,2,False,False,,,
00900,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,2,False,False,,,
00915,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,2,False,False,,,
00930,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,2,False,False,,,
00945,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,3,False,False,,,
00960,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,3,False,False,,,
00975,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,3,False,False,,,
00990,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,3,False,False,,,
01005,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,3,False,False,,,
01020,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,3,False,False,,,
01035,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
01050,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
01065,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
01080,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
01095,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,4,False,False,,,
01110,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,5,False,False,,,
01125,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,5,False,False,,,
01140,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,5,False,False,,,
01155,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,5,False,False,,,
01170,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,5,False,False,,,
01185,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,5,False,False,,,
01200,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
01215,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
01230,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
01245,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
01260,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
01275,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
01290,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
01305,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
01320,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
01335,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
01350,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
01365,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
01380,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
01395,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
01410,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
01425,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
01440,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
01455,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,9,False,False,,,
01470,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,9,False,False,,,
01485,Archers,1.0,Tesla,97.0,Ice Golem,53.0,The Log,98.0,,,,9,False,False,,,
01500,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,Ice Golem,53.0,3.0,7,True,True,,Ice Golem,2.0
01515,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,7,False,False,,,
01530,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
01545,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
01560,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
01575,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
01590,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
01605,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
01620,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,9,False,False,,,
01635,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,9,False,False,,,
01650,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,9,False,False,,,
01665,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,9,False,False,,,
01680,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,9,False,False,,,
01695,Archers,1.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,9,False,False,,,
01710,X,106.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,Archers,1.0,1.0,7,True,True,,Archers,3.0
01725,X,106.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,7,False,False,,,
01740,X,106.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,7,False,False,,,
01755,X,106.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,7,False,False,,,
01770,X,106.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,7,False,False,,,
01785,X,106.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
01800,X,106.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
01815,X,106.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
01830,X,106.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
01845,X,106.0,Tesla,97.0,Ice Spirit,54.0,The Log,98.0,,,,8,False,False,,,
