frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,6,,,
00255,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,6,,,
00270,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,6,,,
00285,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,7,,,
00300,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,7,,,
00315,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,7,,,
00330,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,7,,,
00345,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,7,,,
00360,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,8,,,
00375,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,8,,,
00390,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,8,,,
00405,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,8,,,
00420,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,8,,,
00435,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,8,,,
00450,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,9,,,
00465,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,9,,,
00480,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,9,,,
00495,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,9,,,
00510,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,9,,,
00525,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,9,,,
00540,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,10,,,
00555,Arrows,2.0,Electro Wizard,24.0,Valkyrie,102.0,Rocket,84.0,,,,10,,,
00570,Arrows,2.0,Electro Wizard,24.0,Firecracker,31.0,Rocket,84.0,,,,6,,,
00585,Arrows,2.0,Electro Wizard,24.0,Firecracker,31.0,Rocket,84.0,,,,6,,,
00600,Arrows,2.0,Electro Wizard,24.0,Firecracker,31.0,Rocket,84.0,,,,6,,,
00615,Arrows,2.0,Electro Wizard,24.0,Firecracker,31.0,Rocket,84.0,,,,6,,,
00630,Arrows,2.0,Electro Wizard,24.0,Firecracker,31.0,Rocket,84.0,,,,6,,,
00645,Arrows,2.0,Electro Wizard,24.0,Firecracker,31.0,Rocket,84.0,,,,7,,,
00660,Arrows,2.0,Electro Wizard,24.0,Firecracker,31.0,Rocket,84.0,,,,7,,,
