Fireball,857
Freeze,327
The Log,315
X,304
Archers,296
Bowler,256
Minion Horde,250
Tesla,233
Sparky,218
Knight,209
Lumberjack,203
Giant,199
Balloon,192
Barbarian Barrel,176
Bats,163
Baby Dragon,149
Miner,143
Skeletons,125
Ice Spirit,115
Inferno Dragon,103
Spear Goblins,96
Zap,60
Tornado,43
Goblin Hut,17
Wizard,17
Giant Snowball,17
Skeleton Barrel,12
Royal Delivery,9
Rocket,9
Witch,6
Fisherman,6
Mini P.E.K.K.A,5
Mirror,5
Barbarians,5
Elite Barbarians,4
Royal Hogs,4
Bandit,3
Mortar,3
Hog Rider,3
Firecracker,3
Inferno Tower,2
Mighty Miner,2
Goblin Drill,2
Guards,2
Fire Spirit,2
Heal Spirit,1
Skeleton Dragons,1
Electro Wizard,1
Electro Dragon,1
Tombstone,1
Golem,1
