frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,6.0,,,
00270,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,6.0,,,
00285,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,7.0,,,
00300,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,7.0,,,
00315,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,7.0,,,
00330,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,7.0,,,
00345,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,7.0,,,
00360,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,7.0,,,
00375,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,8.0,,,
00390,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,8.0,,,
00405,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,8.0,,,
00420,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,8.0,,,
00435,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,8.0,,,
00450,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,9.0,,,
00465,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,9.0,,,
00480,Magic Archer,62.0,Barbarian Barrel,6.0,Bandit,5.0,Elite Barbarians,25.0,,,,9.0,,,
00495,Magic Archer,62.0,Barbarian Barrel,6.0,Null,75.0,Elite Barbarians,25.0,,,,6.0,,,
00510,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,6.0,,,
00525,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,6.0,,,
00540,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,3.0,,,
00555,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,7.0,,,
00570,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,7.0,,,
00585,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,7.0,,,
00600,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,7.0,,,
00615,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,7.0,,,
00630,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,8.0,,,
00645,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,8.0,,,
00660,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,8.0,,,
00675,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,8.0,,,
00690,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,8.0,,,
00705,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,9.0,,,
00720,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,9.0,,,
00735,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,9.0,,,
00750,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,9.0,,,
00765,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,9.0,,,
00780,Magic Archer,62.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,9.0,,,
00795,The Log,98.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,6.0,,,
00810,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,6.0,,,
00825,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,6.0,,,
00840,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,6.0,,,
00855,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,6.0,,,
00870,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,6.0,,,
00885,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,7.0,,,
00900,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,7.0,,,
00915,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,7.0,,,
00930,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,7.0,,,
00945,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Elite Barbarians,25.0,,,,7.0,,,
00960,,,Barbarian Barrel,6.0,,,,,,,,2.0,,,
00975,,,Barbarian Barrel,6.0,,,,,,,,2.0,,,
00990,,,Barbarian Barrel,6.0,,,,,,,,2.0,,,
01005,,,Barbarian Barrel,6.0,,,,,,,,2.0,,,
01020,,,Barbarian Barrel,6.0,,,,,,,,2.0,,,
01035,,,Barbarian Barrel,6.0,,,,,,,,2.0,,,
01050,,,Barbarian Barrel,6.0,,,Royal Ghost,86.0,,,,3.0,,,
01065,,,Barbarian Barrel,6.0,,,Royal Ghost,86.0,,,,3.0,,,
01080,,,Barbarian Barrel,6.0,,,Royal Ghost,86.0,,,,3.0,,,
01095,,,Barbarian Barrel,6.0,,,Royal Ghost,86.0,,,,3.0,,,
01110,,,Barbarian Barrel,6.0,,,Royal Ghost,86.0,,,,3.0,,,
01125,,,Barbarian Barrel,6.0,,,Royal Ghost,86.0,,,,3.0,,,
01140,,,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,4.0,,,
01155,,,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,4.0,,,
01170,,,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,4.0,,,
01185,,,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,4.0,,,
01200,,,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,4.0,,,
01215,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,5.0,,,
01230,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,5.0,,,
01245,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,5.0,,,
01260,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,5.0,,,
01275,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,5.0,,,
01290,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,5.0,,,
01305,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,6.0,,,
01320,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,6.0,,,
01335,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,6.0,,,
01350,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,6.0,,,
01365,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,6.0,,,
01380,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,7.0,,,
01395,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,7.0,,,
01410,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Royal Ghost,86.0,,,,7.0,,,
