frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,6,False,False,,,
00255,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,6,False,False,,,
00270,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,6,False,False,,,
00285,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,7,False,False,,,
00300,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,7,False,False,,,
00315,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,7,False,False,,,
00330,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,7,False,False,,,
00345,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,7,False,False,,,
00360,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00375,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00390,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00405,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00420,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00435,Hog Rider,51.0,Ice Spirit,54.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00450,Hog Rider,51.0,The Log,98.0,Cannon,15.0,Skeletons,94.0,Ice Spirit,54.0,2.0,8,True,False,,Ice Spirit,1.0
00465,Hog Rider,51.0,The Log,98.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00480,Hog Rider,51.0,The Log,98.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00495,Hog Rider,51.0,The Log,98.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00510,Hog Rider,51.0,The Log,98.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00525,Hog Rider,51.0,The Log,98.0,Cannon,15.0,Skeletons,94.0,,,,9,False,False,,,
00540,Hog Rider,51.0,The Log,98.0,Cannon,15.0,Skeletons,94.0,,,,9,False,False,,,
00555,Hog Rider,51.0,The Log,98.0,Cannon,15.0,Skeletons,94.0,,,,9,False,False,,,
00570,Hog Rider,51.0,The Log,98.0,Cannon,15.0,Skeletons,94.0,,,,9,False,False,,,
00585,Hog Rider,51.0,Fireball,30.0,Cannon,15.0,Skeletons,94.0,The Log,98.0,2.0,7,True,True,,The Log,2.0
00600,Hog Rider,51.0,Fireball,30.0,Cannon,15.0,Skeletons,94.0,,,,7,False,False,,,
00615,Hog Rider,51.0,Fireball,30.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00630,Hog Rider,51.0,Fireball,30.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00645,Hog Rider,51.0,Fireball,30.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00660,Hog Rider,51.0,Fireball,30.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00675,Hog Rider,51.0,Fireball,30.0,Cannon,15.0,Skeletons,94.0,,,,8,False,False,,,
00690,Musketeer,73.0,Fireball,30.0,Cannon,15.0,Skeletons,94.0,Hog Rider,51.0,1.0,4,True,True,,Hog Rider,4.0
00705,Musketeer,73.0,Fireball,30.0,Cannon,15.0,Skeletons,94.0,,,,5,False,False,,,
00720,Musketeer,73.0,Fireball,30.0,Cannon,15.0,Skeletons,94.0,,,,5,False,False,,,
