frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,6,False,False,,,
00240,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,6,False,False,,,
00255,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,6,False,False,,,
00270,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,7,False,False,,,
00285,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,7,False,False,,,
00300,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,7,False,False,,,
00315,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,7,False,False,,,
00330,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,7,False,False,,,
00345,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,7,False,False,,,
00360,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00375,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00390,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00405,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00420,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00435,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00450,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,9,False,False,,,
00465,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,9,False,False,,,
00480,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,9,False,False,,,
00495,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,9,False,False,,,
00510,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,9,False,False,,,
00525,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00540,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00555,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00570,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00585,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00600,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00615,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00630,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00645,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00660,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00675,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00690,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00705,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00720,Miner,66.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00735,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,Miner,66.0,1.0,10,True,False,,Miner,3.0
00750,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,10,False,False,,,
00765,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,7,False,True,,,
00780,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,7,False,False,,,
00795,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,7,False,False,,,
00810,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,7,False,False,,,
00825,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00840,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00855,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00870,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00885,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,8,False,False,,,
00900,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,9,False,False,,,
00915,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,9,False,False,,,
00930,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,9,False,False,,,
00945,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,9,False,False,,,
00960,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Inferno Dragon,56.0,,,,9,False,False,,,
00975,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,Inferno Dragon,56.0,4.0,5,True,True,,Inferno Dragon,4.0
00990,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,6,False,False,,,
01005,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,6,False,False,,,
01020,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,6,False,False,,,
01035,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,6,False,False,,,
01050,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,6,False,False,,,
01065,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,6,False,False,,,
01080,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,7,False,False,,,
01095,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,7,False,False,,,
01110,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,7,False,False,,,
01125,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,7,False,False,,,
01140,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,7,False,False,,,
01155,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01170,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01185,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01200,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01215,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01230,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01245,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,9,False,False,,,
01260,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,9,False,False,,,
01275,Zap,107.0,Ice Golem,53.0,Balloon,4.0,Mega Minion,64.0,,,,9,False,False,,,
01290,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,Ice Golem,53.0,2.0,7,True,True,,Ice Golem,2.0
01305,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,7,False,False,,,
01320,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01335,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01350,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01365,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01380,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01395,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,8,False,False,,,
01410,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,9,False,False,,,
01425,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,9,False,False,,,
01440,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,9,False,False,,,
01455,Zap,107.0,Goblin Cage,40.0,Balloon,4.0,Mega Minion,64.0,,,,9,False,False,,,
01470,Zap,107.0,Fireball,30.0,Balloon,4.0,Mega Minion,64.0,Goblin Cage,40.0,2.0,5,True,True,,Goblin Cage,4.0
01485,Zap,107.0,Fireball,30.0,Balloon,4.0,Mega Minion,64.0,,,,5,False,False,,,
01500,Zap,107.0,Fireball,30.0,Balloon,4.0,Mega Minion,64.0,,,,6,False,False,,,
01515,Zap,107.0,Fireball,30.0,Balloon,4.0,Mega Minion,64.0,,,,6,False,False,,,
01530,Zap,107.0,Fireball,30.0,Balloon,4.0,Mega Minion,64.0,,,,6,False,False,,,
01545,Zap,107.0,Fireball,30.0,Balloon,4.0,Mega Minion,64.0,,,,6,False,False,,,
01560,Zap,107.0,Miner,66.0,Balloon,4.0,Mega Minion,64.0,Fireball,30.0,2.0,2,True,True,,Fireball,4.0
01575,Zap,107.0,Miner,66.0,Balloon,4.0,Mega Minion,64.0,,,,3,False,False,,,
01590,Zap,107.0,Miner,66.0,Balloon,4.0,Mega Minion,64.0,,,,3,False,False,,,
01605,Zap,107.0,Miner,66.0,Balloon,4.0,Mega Minion,64.0,,,,3,False,False,,,
