frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,6,,,
00270,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,6,,,
00285,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,7,,,
00300,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,7,,,
00315,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,7,,,
00330,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,7,,,
00345,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,7,,,
00360,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,7,,,
00375,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,8,,,
00390,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,8,,,
00405,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,8,,,
00420,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,8,,,
00435,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,8,,,
00450,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,9,,,
00465,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,9,,,
00480,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,9,,,
00495,The Log,98.0,Ice Golem,53.0,Skeletons,94.0,Bats,9.0,,,,9,,,
00510,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,8,,,
00525,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,8,,,
00540,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00555,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00570,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00585,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00600,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00615,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00630,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,10,,,
00645,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,10,,,
00660,The Log,98.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,10,,,
00675,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,8,,,
00690,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,8,,,
00705,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,8,,,
00720,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,8,,,
00735,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,8,,,
00750,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00765,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00780,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00795,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00810,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,9,,,
00825,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,10,,,
00840,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,10,,,
00855,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,10,,,
00870,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,10,,,
00885,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,10,,,
00900,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Bats,9.0,,,,10,,,
00915,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Miner,66.0,,,,8,,,
00930,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Miner,66.0,,,,8,,,
00945,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Miner,66.0,,,,8,,,
00960,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Miner,66.0,,,,8,,,
00975,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Miner,66.0,,,,8,,,
00990,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Miner,66.0,,,,9,,,
01005,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Miner,66.0,,,,9,,,
01020,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Miner,66.0,,,,9,,,
01035,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Null,75.0,,,,6,,,
01050,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,6,,,
01065,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,6,,,
01080,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,7,,,
01095,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,7,,,
01110,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,7,,,
01125,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,7,,,
01140,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,7,,,
01155,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,8,,,
01170,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,8,,,
01185,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,8,,,
01200,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,8,,,
01215,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,8,,,
01230,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,8,,,
01245,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,9,,,
01260,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,9,,,
01275,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,9,,,
01290,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,9,,,
01305,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,9,,,
01320,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,10,,,
01335,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,10,,,
01350,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,10,,,
01365,Hunter,52.0,Ice Golem,53.0,Wall Breakers,103.0,Earthquake,20.0,,,,10,,,
01380,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,8,,,
01395,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,8,,,
01410,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,8,,,
01425,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,8,,,
01440,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,8,,,
01455,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,9,,,
01470,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,9,,,
01485,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,9,,,
01500,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,9,,,
01515,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,9,,,
01530,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,9,,,
01545,Hunter,52.0,Ice Golem,53.0,Skeletons,94.0,Earthquake,20.0,,,,10,,,
01560,Hunter,52.0,Ice Golem,53.0,The Log,98.0,Earthquake,20.0,,,,10,,,
01575,Hunter,52.0,Ice Golem,53.0,The Log,98.0,Earthquake,20.0,,,,9,,,
01590,Hunter,52.0,Ice Golem,53.0,The Log,98.0,Earthquake,20.0,,,,9,,,
01605,Hunter,52.0,Ice Golem,53.0,The Log,98.0,Earthquake,20.0,,,,9,,,
01620,Hunter,52.0,Ice Golem,53.0,The Log,98.0,Earthquake,20.0,,,,9,,,
01635,Hunter,52.0,Ice Golem,53.0,The Log,98.0,Earthquake,20.0,,,,10,,,
01650,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,8,,,
01665,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,8,,,
01680,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,8,,,
01695,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,8,,,
01710,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,8,,,
01725,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,9,,,
01740,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,9,,,
01755,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,9,,,
01770,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,9,,,
01785,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,9,,,
01800,Hunter,52.0,Ice Golem,53.0,Bats,9.0,Earthquake,20.0,,,,9,,,
01815,Hunter,52.0,Ice Golem,53.0,Miner,66.0,Earthquake,20.0,,,,8,,,
01830,Hunter,52.0,Ice Golem,53.0,Miner,66.0,Earthquake,20.0,,,,8,,,
01845,Hunter,52.0,Ice Golem,53.0,Miner,66.0,Earthquake,20.0,,,,8,,,
01860,Hunter,52.0,Ice Golem,53.0,Miner,66.0,Earthquake,20.0,,,,8,,,
01875,Hunter,52.0,Ice Golem,53.0,Miner,66.0,Earthquake,20.0,,,,8,,,
01890,Hunter,52.0,Ice Golem,53.0,Miner,66.0,Earthquake,20.0,,,,9,,,
01905,Hunter,52.0,Ice Golem,53.0,Miner,66.0,Earthquake,20.0,,,,9,,,
01920,Hunter,52.0,Ice Golem,53.0,Miner,66.0,Earthquake,20.0,,,,9,,,
01935,Hunter,52.0,Ice Golem,53.0,Miner,66.0,Earthquake,20.0,,,,9,,,
