frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,6,,,
00270,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,6,,,
00285,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,7,,,
00300,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,7,,,
00315,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,7,,,
00330,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,7,,,
00345,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,7,,,
00360,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,7,,,
00375,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,8,,,
00390,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,8,,,
00405,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,8,,,
00420,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,8,,,
00435,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,8,,,
00450,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,8,,,
00465,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,9,,,
00480,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,9,,,
00495,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,9,,,
00510,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,9,,,
00525,Mega Minion,64.0,Giant Snowball,38.0,Knight,58.0,Balloon,4.0,,,,9,,,
00540,Mega Minion,64.0,Archers,1.0,Knight,58.0,Balloon,4.0,,,,8,,,
00555,Mega Minion,64.0,Archers,1.0,Knight,58.0,Balloon,4.0,,,,8,,,
00570,Mega Minion,64.0,Archers,1.0,Knight,58.0,Balloon,4.0,,,,8,,,
00585,Mega Minion,64.0,Archers,1.0,Knight,58.0,Balloon,4.0,,,,8,,,
00600,Mega Minion,64.0,Archers,1.0,Knight,58.0,Balloon,4.0,,,,8,,,
00615,Mega Minion,64.0,Archers,1.0,Knight,58.0,Balloon,4.0,,,,8,,,
00630,Mega Minion,64.0,Archers,1.0,Knight,58.0,Balloon,4.0,,,,9,,,
00645,Mega Minion,64.0,Archers,1.0,Knight,58.0,Balloon,4.0,,,,9,,,
00660,Mega Minion,64.0,Archers,1.0,Knight,58.0,Balloon,4.0,,,,9,,,
00675,Mega Minion,64.0,Archers,1.0,Knight,58.0,Balloon,4.0,,,,9,,,
00690,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,6,,,
00705,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
00720,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
00735,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
00750,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
00765,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
00780,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
00795,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
00810,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
00825,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
00840,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
00855,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
00870,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
00885,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
00900,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
00915,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
00930,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
00945,Mega Minion,64.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
00960,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
00975,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
00990,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
01005,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
01020,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
01035,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,7,,,
01050,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
01065,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
01080,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
01095,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
01110,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,8,,,
01125,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
01140,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
01155,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
01170,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
01185,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
01200,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,9,,,
01215,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,10,,,
01230,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,10,,,
01245,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,10,,,
01260,Barbarian Barrel,6.0,Miner,66.0,Knight,58.0,Balloon,4.0,,,,10,,,
01275,Barbarian Barrel,6.0,Miner,66.0,Bomb Tower,12.0,Balloon,4.0,,,,7,,,
01290,Barbarian Barrel,6.0,,,,,Null,75.0,,,,2,,,
01305,Barbarian Barrel,6.0,,,,,Giant Snowball,38.0,,,,2,,,
01320,Barbarian Barrel,6.0,,,,,Giant Snowball,38.0,,,,2,,,
01335,Barbarian Barrel,6.0,,,,,Giant Snowball,38.0,,,,2,,,
01350,Barbarian Barrel,6.0,Miner,66.0,,,Giant Snowball,38.0,,,,3,,,
01365,Barbarian Barrel,6.0,Miner,66.0,,,Giant Snowball,38.0,,,,3,,,
01380,Barbarian Barrel,6.0,Miner,66.0,,,Giant Snowball,38.0,,,,3,,,
01395,Barbarian Barrel,6.0,Miner,66.0,,,Giant Snowball,38.0,,,,3,,,
01410,Barbarian Barrel,6.0,Miner,66.0,,,Giant Snowball,38.0,,,,3,,,
01425,Barbarian Barrel,6.0,Miner,66.0,,,Giant Snowball,38.0,,,,3,,,
01440,,,,,,,,,,,,1,,,
01455,,,,,,,,,,,,1,,,
01470,,,,,,,,,,,,1,,,
01485,,,,,,,,,,,,1,,,
01500,,,,,,,,,,,,1,,,
01515,Barbarian Barrel,6.0,,,,,Giant Snowball,38.0,,,,2,,,
01530,Barbarian Barrel,6.0,,,,,Giant Snowball,38.0,,,,2,,,
01545,Barbarian Barrel,6.0,,,,,Giant Snowball,38.0,,,,2,,,
01560,Barbarian Barrel,6.0,,,,,Giant Snowball,38.0,,,,2,,,
01575,Barbarian Barrel,6.0,,,,,Giant Snowball,38.0,,,,2,,,
01590,Barbarian Barrel,6.0,,,,,Giant Snowball,38.0,,,,2,,,
01605,Barbarian Barrel,6.0,Archers,1.0,,,Giant Snowball,38.0,,,,3,,,
01620,Barbarian Barrel,6.0,Archers,1.0,,,Giant Snowball,38.0,,,,3,,,
01635,Barbarian Barrel,6.0,Archers,1.0,,,Giant Snowball,38.0,,,,3,,,
01650,Barbarian Barrel,6.0,Archers,1.0,,,Giant Snowball,38.0,,,,3,,,
01665,Barbarian Barrel,6.0,Archers,1.0,,,Giant Snowball,38.0,,,,3,,,
01680,Barbarian Barrel,6.0,Archers,1.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,4,,,
01695,Barbarian Barrel,6.0,Archers,1.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,4,,,
01710,Barbarian Barrel,6.0,Archers,1.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,4,,,
01725,Barbarian Barrel,6.0,Archers,1.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,4,,,
