frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,6.0,,,
00240,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,6.0,,,
00255,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,6.0,,,
00270,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,6.0,,,
00285,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,7.0,,,
00300,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,7.0,,,
00315,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,7.0,,,
00330,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,7.0,,,
00345,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,7.0,,,
00360,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,8.0,,,
00375,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,8.0,,,
00390,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,8.0,,,
00405,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,8.0,,,
00420,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,8.0,,,
00435,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,8.0,,,
00450,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,9.0,,,
00465,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,9.0,,,
00480,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,9.0,,,
00495,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,9.0,,,
00510,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,9.0,,,
00525,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00540,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00555,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00570,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00585,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00600,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00615,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00630,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00645,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00660,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00675,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00690,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00705,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00720,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00735,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00750,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00765,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00780,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00795,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00810,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00825,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00840,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00855,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00870,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00885,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00900,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00915,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00930,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
00945,Graveyard,48.0,Electro Wizard,24.0,Knight,58.0,Poison,78.0,,,,10.0,,,
