frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,6,,,
00270,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,6,,,
00285,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,6,,,
00300,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,7,,,
00315,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,7,,,
00330,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,7,,,
00345,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,7,,,
00360,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,7,,,
00375,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,7,,,
00390,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,8,,,
00405,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,8,,,
00420,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,8,,,
00435,Skeleton Army,90.0,Musketeer,73.0,Flying Machine,33.0,Sparky,95.0,,,,8,,,
00450,Skeleton Army,90.0,Musketeer,73.0,Golden Knight,46.0,Sparky,95.0,,,,8,,,
00465,Skeleton Army,90.0,Musketeer,73.0,Golden Knight,46.0,Sparky,95.0,,,,8,,,
00480,Skeleton Army,90.0,Musketeer,73.0,Golden Knight,46.0,Sparky,95.0,,,,9,,,
00495,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,9,,,
00510,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,9,,,
00525,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,9,,,
00540,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,9,,,
00555,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00570,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00585,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00600,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00615,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00630,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00645,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00660,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00675,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00690,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00705,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00720,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00735,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00750,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00765,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
00780,Skeleton Army,90.0,Musketeer,73.0,Cannon Cart,16.0,Sparky,95.0,,,,10,,,
