frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,6,False,False,,,
00240,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,6,False,False,,,
00255,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,6,False,False,,,
00270,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,7,False,False,,,
00285,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,7,False,False,,,
00300,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,7,False,False,,,
00315,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,7,False,False,,,
00330,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,7,False,False,,,
00345,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,7,False,False,,,
00360,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,8,False,False,,,
00375,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,8,False,False,,,
00390,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,8,False,False,,,
00405,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,8,False,False,,,
00420,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,8,False,False,,,
00435,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,9,False,False,,,
00450,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,9,False,False,,,
00465,Skeletons,94.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,9,False,False,,,
00480,The Log,98.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,Skeletons,94.0,1.0,8,True,True,,Skeletons,1.0
00495,The Log,98.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,8,False,False,,,
00510,The Log,98.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,8,False,False,,,
00525,The Log,98.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,9,False,False,,,
00540,The Log,98.0,Fireball,30.0,Cannon,15.0,Ice Golem,53.0,,,,9,False,False,,,
