frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,6,,,
00240,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,6,,,
00255,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,6,,,
00270,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,6,,,
00285,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00300,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00315,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00330,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00345,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00360,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00375,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00390,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00405,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00420,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00435,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00450,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00465,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00480,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00495,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00510,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00525,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00540,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,10,,,
00555,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,10,,,
00570,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,10,,,
00585,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,10,,,
00600,Ice Wizard,55.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,10,,,
00615,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00630,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00645,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00660,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00675,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,7,,,
00690,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00705,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00720,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00735,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00750,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00765,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,8,,,
00780,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00795,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00810,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00825,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00840,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,9,,,
00855,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,10,,,
00870,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,10,,,
00885,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,10,,,
00900,Valkyrie,102.0,Rocket,84.0,X,106.0,Tornado,101.0,,,,10,,,
00915,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
00930,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
00945,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
00960,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
00975,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
00990,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
01005,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,5,,,
01020,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,5,,,
01035,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,5,,,
01050,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,5,,,
01065,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,5,,,
01080,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,6,,,
01095,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,6,,,
01110,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,6,,,
01125,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,6,,,
01140,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,6,,,
01155,Valkyrie,102.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,6,,,
01170,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,3,,,
01185,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,3,,,
01200,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,3,,,
01215,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,3,,,
01230,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,3,,,
01245,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
01260,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
01275,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
01290,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
01305,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
01320,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,4,,,
01335,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,5,,,
01350,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,5,,,
01365,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,5,,,
01380,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,5,,,
01395,The Log,98.0,Rocket,84.0,Tesla,97.0,Tornado,101.0,,,,5,,,
