frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,6,,,
00240,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,6,,,
00255,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,6,,,
00270,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,6,,,
00285,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,7,,,
00300,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,7,,,
00315,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,7,,,
00330,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,7,,,
00345,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,7,,,
00360,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00375,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00390,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00405,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00420,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00435,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00450,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,9,,,
00465,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,9,,,
00480,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,9,,,
00495,Lumberjack,61.0,Barbarian Barrel,6.0,Balloon,4.0,Freeze,34.0,,,,9,,,
00510,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,7,,,
00525,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,7,,,
00540,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00555,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00570,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00585,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00600,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,8,,,
00615,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,9,,,
00630,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,9,,,
00645,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,9,,,
00660,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,9,,,
00675,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,9,,,
00690,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,9,,,
00705,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,10,,,
00720,Lumberjack,61.0,Inferno Dragon,56.0,Balloon,4.0,Freeze,34.0,,,,10,,,
00735,Lumberjack,61.0,Bowler,14.0,Balloon,4.0,Freeze,34.0,,,,6,,,
00750,Lumberjack,61.0,Bowler,14.0,Balloon,4.0,Freeze,34.0,,,,6,,,
00765,Lumberjack,61.0,Bowler,14.0,Balloon,4.0,Freeze,34.0,,,,6,,,
00780,Lumberjack,61.0,Bowler,14.0,Balloon,4.0,Freeze,34.0,,,,6,,,
00795,Lumberjack,61.0,Bowler,14.0,Balloon,4.0,Freeze,34.0,,,,6,,,
