frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,6,,,
00255,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,6,,,
00270,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,6,,,
00285,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,6,,,
00300,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,7,,,
00315,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,7,,,
00330,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,7,,,
00345,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,7,,,
00360,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,7,,,
00375,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,8,,,
00390,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,8,,,
00405,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,8,,,
00420,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,8,,,
00435,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,8,,,
00450,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,8,,,
00465,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,9,,,
00480,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,9,,,
00495,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,9,,,
00510,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,9,,,
00525,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,9,,,
00540,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,10,,,
00555,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,10,,,
00570,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,10,,,
00585,Tornado,101.0,X,106.0,Tesla,97.0,Knight,58.0,,,,10,,,
00600,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Knight,58.0,,,,4,,,
00615,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Knight,58.0,,,,4,,,
00630,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Knight,58.0,,,,4,,,
00645,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Knight,58.0,,,,4,,,
00660,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,1,,,
00675,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,2,,,
00690,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,2,,,
00705,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,2,,,
00720,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,2,,,
00735,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,2,,,
00750,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,2,,,
00765,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,3,,,
00780,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,3,,,
00795,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,3,,,
00810,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,3,,,
00825,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,Skeletons,94.0,,,,3,,,
00840,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,The Log,98.0,,,,3,,,
00855,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,The Log,98.0,,,,3,,,
00870,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,The Log,98.0,,,,3,,,
00885,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,The Log,98.0,,,,3,,,
00900,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,The Log,98.0,,,,3,,,
00915,Tornado,101.0,Ice Wizard,55.0,Tesla,97.0,The Log,98.0,,,,3,,,
