frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Tornado,101.0,,,,,Barbarian Barrel,6.0,,,,6,,,
00255,Tornado,101.0,,,,,Barbarian Barrel,6.0,,,,6,,,
00270,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,6,,,
00285,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,7,,,
00300,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,7,,,
00315,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,7,,,
00330,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,7,,,
00345,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,7,,,
00360,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,7,,,
00375,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,8,,,
00390,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,8,,,
00405,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,8,,,
00420,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,8,,,
00435,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,8,,,
00450,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,9,,,
00465,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,9,,,
00480,Tornado,101.0,Barbarian Hut,7.0,Golem,47.0,Barbarian Barrel,6.0,,,,9,,,
