frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,6,False,False,,,
00255,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,6,False,False,,,
00270,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,False,False,,,
00285,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,False,False,,,
00300,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,False,False,,,
00315,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,False,False,,,
00330,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,False,False,,,
00345,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,False,False,,,
00360,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,False,False,,,
00375,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,False,False,,,
00390,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,False,False,,,
00405,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,False,False,,,
00420,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,False,False,,,
00435,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,False,False,,,
00450,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,False,False,,,
00465,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,False,False,,,
00480,Battle Ram,11.0,Bandit,5.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,False,False,,,
00495,Battle Ram,11.0,Royal Ghost,86.0,Electro Wizard,24.0,Magic Archer,62.0,Bandit,5.0,2.0,6,True,True,,Bandit,3.0
00510,Battle Ram,11.0,Royal Ghost,86.0,Electro Wizard,24.0,Magic Archer,62.0,,,,6,False,False,,,
00525,Battle Ram,11.0,Royal Ghost,86.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,False,False,,,
00540,Battle Ram,11.0,Royal Ghost,86.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,False,False,,,
00555,Battle Ram,11.0,Royal Ghost,86.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,False,False,,,
