frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00255,Heal Spirit,50.0,,,Lumberjack,61.0,Giant Snowball,38.0,,,,6,False,False,,,
00270,Heal Spirit,50.0,,,Lumberjack,61.0,Giant Snowball,38.0,,,,6,False,False,,,
00285,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,2.0,6,True,False,,,
00300,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
00315,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
00330,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
00345,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
00360,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
00375,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
00390,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00405,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00420,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00435,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00450,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00465,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00480,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00495,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00510,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00525,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00540,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00555,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
00570,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
00585,Heal Spirit,50.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
00600,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,Heal Spirit,50.0,1.0,9,True,True,,Heal Spirit,1.0
00615,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00630,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00645,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00660,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00675,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00690,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
00705,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
00720,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
00735,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
00750,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
00765,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
00780,Fisherman,32.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
00795,Goblin Drill,41.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,Fisherman,32.0,1.0,7,True,True,,Fisherman,3.0
00810,Goblin Drill,41.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
00825,Goblin Drill,41.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
00840,Goblin Drill,41.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
00855,Goblin Drill,41.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
00870,Goblin Drill,41.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00885,Goblin Drill,41.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00900,Goblin Drill,41.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00915,Goblin Drill,41.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00930,Goblin Drill,41.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
00945,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,Goblin Drill,41.0,1.0,8,True,False,,Goblin Drill,4.0
00960,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00975,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
00990,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
01005,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
01020,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
01035,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,10,False,False,,,
01050,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,True,,,
01065,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01080,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01095,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01110,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01125,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01140,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
01155,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
01170,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
01185,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
01200,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
01215,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
01230,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
01245,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
01260,Musketeer,73.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,9,False,False,,,
01275,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,Musketeer,73.0,1.0,5,True,True,,Musketeer,4.0
01290,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,5,False,False,,,
01305,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,6,False,False,,,
01320,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,6,False,False,,,
01335,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,6,False,False,,,
01350,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,6,False,False,,,
01365,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,6,False,False,,,
01380,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01395,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01410,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01425,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01440,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01455,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,7,False,False,,,
01470,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
01485,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
01500,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
01515,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
01530,Balloon,4.0,Royal Recruits,89.0,Lumberjack,61.0,Giant Snowball,38.0,,,,8,False,False,,,
