frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00255,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
00270,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
00285,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00300,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00315,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00330,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00345,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00360,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00375,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
00390,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
00405,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
00420,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
00435,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
00450,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,9,False,False,,,
00465,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,9,False,False,,,
00480,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,9,False,False,,,
00495,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,9,False,False,,,
00510,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,9,False,False,,,
00525,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,9,False,False,,,
00540,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,10,False,False,,,
00555,Musketeer,73.0,Hog Rider,51.0,Ice Golem,53.0,The Log,98.0,,,,10,False,False,,,
00570,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,Hog Rider,51.0,2.0,6,True,True,,Hog Rider,4.0
00585,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
00600,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
00615,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
00630,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,6,False,False,,,
00645,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00660,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00675,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00690,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00705,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00720,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,7,False,False,,,
00735,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,The Log,98.0,,,,8,False,False,,,
00750,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,The Log,98.0,4.0,6,True,True,,The Log,2.0
00765,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,6,False,False,,,
00780,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,6,False,False,,,
00795,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,6,False,False,,,
00810,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,7,False,False,,,
00825,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,7,False,False,,,
00840,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,7,False,False,,,
00855,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,7,False,False,,,
00870,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,7,False,False,,,
00885,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,7,False,False,,,
00900,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,8,False,False,,,
00915,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,8,False,False,,,
00930,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,8,False,False,,,
00945,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,8,False,False,,,
00960,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,8,False,False,,,
00975,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,8,False,False,,,
00990,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,9,False,False,,,
01005,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,9,False,False,,,
01020,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,9,False,False,,,
01035,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,9,False,False,,,
01050,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,9,False,False,,,
01065,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01080,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01095,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01110,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01125,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01140,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01155,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01170,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01185,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01200,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01215,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01230,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01245,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01260,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01275,Musketeer,73.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,10,False,False,,,
01290,Ice Spirit,54.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,Musketeer,73.0,1.0,6,True,True,,Musketeer,4.0
01305,Ice Spirit,54.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,6,False,False,,,
01320,Ice Spirit,54.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,6,False,False,,,
01335,Ice Spirit,54.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,6,False,False,,,
01350,Ice Spirit,54.0,Cannon,15.0,Ice Golem,53.0,Fireball,30.0,,,,6,False,False,,,
