frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,,,Fireball,30.0,Zap,107.0,Miner,66.0,,,,6,False,False,,,
00255,,,Fireball,30.0,Zap,107.0,Miner,66.0,,,,6,False,False,,,
00270,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,1.0,6,True,False,,,
00285,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,6,False,False,,,
00300,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,7,False,False,,,
00315,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,7,False,False,,,
00330,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,7,False,False,,,
00345,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,7,False,False,,,
00360,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,7,False,False,,,
00375,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,8,False,False,,,
00390,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,8,False,False,,,
00405,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,8,False,False,,,
00420,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,8,False,False,,,
00435,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,8,False,False,,,
00450,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,8,False,False,,,
00465,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,9,False,False,,,
00480,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,9,False,False,,,
00495,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,9,False,False,,,
00510,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,9,False,False,,,
00525,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,9,False,False,,,
00540,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,10,False,False,,,
00555,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,10,False,False,,,
00570,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,10,False,False,,,
00585,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,10,False,False,,,
00600,Lava Hound,59.0,Fireball,30.0,Zap,107.0,Miner,66.0,,,,10,False,False,,,
00615,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,Zap,107.0,3.0,8,True,True,,Zap,2.0
00630,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,8,False,False,,,
00645,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,8,False,False,,,
00660,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,8,False,False,,,
00675,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,8,False,False,,,
00690,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,9,False,False,,,
00705,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,9,False,False,,,
00720,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,9,False,False,,,
00735,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,9,False,False,,,
00750,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,9,False,False,,,
00765,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,9,False,False,,,
00780,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,10,False,False,,,
00795,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,10,False,False,,,
00810,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,10,False,False,,,
00825,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,10,False,False,,,
00840,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,10,False,False,,,
00855,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,10,False,False,,,
00870,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,10,False,False,,,
00885,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,10,False,False,,,
00900,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,10,False,False,,,
00915,Lava Hound,59.0,Fireball,30.0,Barbarians,8.0,Miner,66.0,,,,10,False,False,,,
00930,Lava Hound,59.0,Fireball,30.0,Goblin Cage,40.0,Miner,66.0,Barbarians,8.0,3.0,5,True,True,,Barbarians,5.0
00945,Lava Hound,59.0,Fireball,30.0,Goblin Cage,40.0,Miner,66.0,,,,5,False,False,,,
00960,Lava Hound,59.0,Fireball,30.0,Goblin Cage,40.0,Miner,66.0,,,,5,False,False,,,
00975,Lava Hound,59.0,Fireball,30.0,Goblin Cage,40.0,Miner,66.0,,,,5,False,False,,,
00990,Lava Hound,59.0,Fireball,30.0,Goblin Cage,40.0,Miner,66.0,,,,5,False,False,,,
01005,Lava Hound,59.0,Fireball,30.0,Goblin Cage,40.0,Miner,66.0,,,,6,False,False,,,
01020,Lava Hound,59.0,Fireball,30.0,Goblin Cage,40.0,Miner,66.0,,,,6,False,False,,,
01035,Lava Hound,59.0,Fireball,30.0,Goblin Cage,40.0,Miner,66.0,,,,6,False,False,,,
01050,Lava Hound,59.0,Fireball,30.0,Goblin Cage,40.0,Miner,66.0,,,,6,False,False,,,
