Knight,562
Fireball,459
Minion Horde,428
Graveyard,345
Tesla,342
The Log,334
Valkyrie,297
Skeleton Army,284
Archers,271
Goblin Cage,264
Skeletons,248
X,242
Baby Dragon,239
Balloon,216
Tornado,211
Barbarian Hut,209
Goblin Barrel,197
Skeleton Barrel,193
Poison,179
Electro Spirit,150
Ice Wizard,148
Firecracker,137
Witch,107
Barbarian Barrel,72
Furnace,37
Executioner,11
Goblin Drill,9
Elite Barbarians,4
Rocket,3
Bandit,3
Dark Prince,3
Electro Wizard,2
Mini P.E.K.K.A,2
Lava Hound,2
Barbarians,2
Hunter,2
P.E.K.K.A,2
Giant Snowball,2
Three Musketeers,1
Electro Dragon,1
Hog Rider,1
Battle Ram,1
Guards,1
Giant Skeleton,1
Spear Goblins,1
Night Witch,1
Arrows,1
Golden Knight,1
