frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,6,False,False,,,
00255,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,6,False,False,,,
00270,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,6,False,False,,,
00285,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,7,False,False,,,
00300,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,7,False,False,,,
00315,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,7,False,False,,,
00330,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,7,False,False,,,
00345,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,7,False,False,,,
00360,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,8,False,False,,,
00375,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,8,False,False,,,
00390,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,8,False,False,,,
00405,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,8,False,False,,,
00420,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,8,False,False,,,
00435,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,8,False,False,,,
00450,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,9,False,False,,,
00465,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,9,False,False,,,
00480,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,9,False,False,,,
00495,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,9,False,False,,,
00510,Archers,1.0,Ice Spirit,54.0,The Log,98.0,X,106.0,Skeletons,94.0,1.0,8,True,True,,Skeletons,1.0
00525,Archers,1.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,8,False,False,,,
00540,Archers,1.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,9,False,False,,,
00555,Archers,1.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,9,False,False,,,
00570,Ice Golem,53.0,Ice Spirit,54.0,The Log,98.0,X,106.0,Archers,1.0,1.0,6,True,True,,Archers,3.0
00585,Ice Golem,53.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,6,False,False,,,
00600,Ice Golem,53.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,6,False,False,,,
00615,Ice Golem,53.0,Ice Spirit,54.0,The Log,98.0,X,106.0,,,,7,False,False,,,
00630,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,The Log,98.0,3.0,5,True,True,,The Log,2.0
00645,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,5,False,False,,,
00660,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,5,False,False,,,
00675,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,5,False,False,,,
00690,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,5,False,False,,,
00705,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00720,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00735,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00750,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00765,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
00780,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00795,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00810,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00825,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00840,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00855,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
00870,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00885,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00900,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00915,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00930,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
00945,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00960,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00975,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
00990,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01005,Ice Golem,53.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01020,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,Ice Golem,53.0,1.0,7,True,True,,Ice Golem,2.0
01035,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01050,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01065,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01080,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01095,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01110,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01125,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01140,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01155,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01170,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01185,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01200,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,10,False,False,,,
01215,Skeletons,94.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,Tesla,97.0,1.0,6,True,True,,Tesla,4.0
01230,Skeletons,94.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
01245,Skeletons,94.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
01260,Skeletons,94.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
01275,Skeletons,94.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,6,False,False,,,
01290,Skeletons,94.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01305,Skeletons,94.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01320,Skeletons,94.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01335,Skeletons,94.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01350,Skeletons,94.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01365,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,Skeletons,94.0,1.0,6,True,True,,Skeletons,1.0
01380,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01395,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01410,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01425,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01440,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01455,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01470,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01485,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01500,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01515,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01530,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,8,False,False,,,
01545,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01560,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01575,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01590,Archers,1.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,9,False,False,,,
01605,The Log,98.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,Archers,1.0,1.0,6,True,True,,Archers,3.0
01620,The Log,98.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
01635,The Log,98.0,Ice Spirit,54.0,Fireball,30.0,X,106.0,,,,7,False,False,,,
