frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,6,,,
00240,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,6,,,
00255,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,6,,,
00270,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,7,,,
00285,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,7,,,
00300,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,7,,,
00315,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,7,,,
00330,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,7,,,
00345,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,7,,,
00360,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,8,,,
00375,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,8,,,
00390,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,8,,,
00405,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,8,,,
00420,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,8,,,
00435,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,8,,,
00450,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,9,,,
00465,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,9,,,
00480,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,9,,,
00495,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,9,,,
00510,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,9,,,
00525,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00540,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00555,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00570,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00585,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00600,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00615,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00630,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00645,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00660,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00675,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00690,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00705,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00720,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00735,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00750,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00765,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00780,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00795,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00810,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00825,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00840,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00855,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
00870,Poison,78.0,Knight,58.0,Graveyard,48.0,Inferno Tower,57.0,,,,10,,,
