frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,6,,,
00270,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,6,,,
00285,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,7,,,
00300,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,7,,,
00315,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,7,,,
00330,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,7,,,
00345,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,7,,,
00360,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,7,,,
00375,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,8,,,
00390,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,8,,,
00405,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,8,,,
00420,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,8,,,
00435,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,8,,,
00450,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,9,,,
00465,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,9,,,
00480,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,9,,,
00495,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,9,,,
00510,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,9,,,
00525,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,9,,,
00540,Bandit,5.0,Barbarian Barrel,6.0,Golden Knight,46.0,Royal Ghost,86.0,,,,10,,,
00555,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,10,,,
00570,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,10,,,
00585,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,10,,,
00600,Bandit,5.0,Barbarian Barrel,6.0,Heal Spirit,50.0,Royal Ghost,86.0,,,,10,,,
00615,Bandit,5.0,Barbarian Barrel,6.0,Null,75.0,Royal Ghost,86.0,,,,9,,,
00630,Bandit,5.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
00645,Bandit,5.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
00660,Bandit,5.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
00675,Bandit,5.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
00690,Bandit,5.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
00705,Bandit,5.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,10,,,
00720,Bandit,5.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,10,,,
00735,Bandit,5.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,10,,,
00750,Bandit,5.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,10,,,
00765,Bandit,5.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,10,,,
00780,The Log,98.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,7,,,
00795,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,7,,,
00810,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,7,,,
00825,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,7,,,
00840,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,7,,,
00855,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,7,,,
00870,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,8,,,
00885,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,8,,,
00900,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,8,,,
00915,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,8,,,
00930,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,8,,,
00945,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
00960,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
00975,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
00990,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
01005,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
01020,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Royal Ghost,86.0,,,,9,,,
01035,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,,,
01050,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,,,
01065,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,,,
01080,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,,,
01095,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,7,,,
01110,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01125,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01140,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01155,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01170,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01185,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01200,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01215,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01230,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01245,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01260,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01275,Cannon Cart,16.0,Barbarian Barrel,6.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01290,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01305,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01320,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01335,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01350,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,8,,,
01365,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01380,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01395,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01410,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01425,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01440,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,9,,,
01455,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Magic Archer,62.0,,,,10,,,
01470,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Heal Spirit,50.0,,,,6,,,
01485,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Heal Spirit,50.0,,,,6,,,
01500,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Heal Spirit,50.0,,,,6,,,
01515,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Heal Spirit,50.0,,,,6,,,
01530,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Heal Spirit,50.0,,,,6,,,
01545,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Heal Spirit,50.0,,,,7,,,
01560,Cannon Cart,16.0,Battle Ram,11.0,Electro Wizard,24.0,Heal Spirit,50.0,,,,7,,,
