frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,6,False,False,,,
00255,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,6,False,False,,,
00270,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,6,False,False,,,
00285,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,7,False,False,,,
00300,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,7,False,False,,,
00315,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,7,False,False,,,
00330,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,7,False,False,,,
00345,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,7,False,False,,,
00360,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,7,False,False,,,
00375,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,8,False,False,,,
00390,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,8,False,False,,,
00405,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,8,False,False,,,
00420,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,8,False,False,,,
00435,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,8,False,False,,,
00450,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,9,False,False,,,
00465,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,9,False,False,,,
00480,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,9,False,False,,,
00495,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,Skeletons,94.0,,,,9,False,False,,,
00510,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,X,106.0,Skeletons,94.0,4.0,8,True,True,,Skeletons,1.0
00525,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8,False,False,,,
00540,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00555,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00570,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00585,Ice Spirit,54.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00600,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,Ice Spirit,54.0,1.0,8,True,True,,Ice Spirit,1.0
00615,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00630,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00645,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00660,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00675,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00690,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00705,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00720,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00735,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00750,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00765,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,Tesla,97.0,1.0,6,True,True,,Tesla,4.0
00780,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,6,False,False,,,
00795,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,6,False,False,,,
00810,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,6,False,False,,,
00825,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,6,False,False,,,
00840,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,7,False,False,,,
00855,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,7,False,False,,,
00870,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,7,False,False,,,
00885,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,7,False,False,,,
00900,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,7,False,False,,,
00915,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8,False,False,,,
00930,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8,False,False,,,
00945,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8,False,False,,,
00960,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8,False,False,,,
00975,The Log,98.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8,False,False,,,
00990,Knight,58.0,Fireball,30.0,Archers,1.0,X,106.0,The Log,98.0,1.0,6,True,True,,The Log,2.0
01005,Knight,58.0,Fireball,30.0,Archers,1.0,X,106.0,,,,7,False,False,,,
01020,Knight,58.0,Fireball,30.0,Archers,1.0,X,106.0,,,,7,False,False,,,
01035,Knight,58.0,Fireball,30.0,Skeletons,94.0,X,106.0,Archers,1.0,3.0,4,True,True,,Archers,3.0
01050,Ice Spirit,54.0,Fireball,30.0,Skeletons,94.0,X,106.0,Knight,58.0,1.0,1,True,True,,Knight,3.0
01065,Ice Spirit,54.0,Fireball,30.0,Skeletons,94.0,X,106.0,,,,1,False,False,,,
